Year,Nodes,Edges,Density,Average Clustering Coefficient,Transitivity,Eccentricity,Diameter,Radius
1970,1.39e+05,8.90e+04,9.27e-06,0.e+00,0.e+00,inf,inf,inf
1971,1.52e+05,9.82e+04,8.50e-06,0.e+00,0.e+00,inf,inf,inf
1972,1.65e+05,1.07e+05,7.89e-06,0.e+00,0.e+00,inf,inf,inf
1973,1.83e+05,1.2e+05,7.15e-06,0.e+00,0.e+00,inf,inf,inf
1974,1.92e+05,1.27e+05,6.84e-06,0.e+00,0.e+00,inf,inf,inf
1975,2.01e+05,1.33e+05,6.57e-06,0.e+00,0.e+00,inf,inf,inf
1976,2.22e+05,1.48e+05,6.00e-06,0.e+00,0.e+00,inf,inf,inf
1977,2.39e+05,1.60e+05,5.6e-06,0.e+00,0.e+00,inf,inf,inf
1978,2.62e+05,1.77e+05,5.14e-06,0.e+00,0.e+00,inf,inf,inf
1979,2.77e+05,1.88e+05,4.89e-06,0.e+00,0.e+00,inf,inf,inf
