,Nodes,Edges,Density,AVG Clustering Coefficient,Trasitivity,Eccentricity,Diameter,Radius,Transitivity
1980,3.02e+05,2.05e+05,4.51e-06,0.e+00,,inf,inf,inf,0.e+00
1981,3.28e+05,2.25e+05,4.19e-06,0.e+00,,inf,inf,inf,0.e+00
1982,3.42e+05,2.35e+05,4.03e-06,0.e+00,,inf,inf,inf,0.e+00
1983,3.66e+05,2.53e+05,3.78e-06,0.e+00,,inf,inf,inf,0.e+00
1984,3.92e+05,2.72e+05,3.53e-06,0.e+00,,inf,inf,inf,0.e+00
1985,4.3e+05,3.e+05,3.25e-06,0.e+00,,inf,inf,inf,0.e+00
1986,4.62e+05,3.24e+05,3.04e-06,0.e+00,,inf,inf,inf,0.e+00
1987,5.14e+05,3.63e+05,2.75e-06,0.e+00,,inf,inf,inf,0.e+00
1988,5.81e+05,4.13e+05,2.45e-06,0.e+00,,inf,inf,inf,0.e+00
1989,6.31e+05,4.51e+05,2.26e-06,0.e+00,,inf,inf,inf,0.e+00
