Year,Nodes,Edges,Density,Average Clustering Coefficient,Transitivity,Diameter,Radius
2010,3.65e+06,5.46e+07,8.21e-06,8.40e-01,8.83e-01,1.67e+00,1.19e+00
2011,3.80e+06,4.78e+07,6.62e-06,8.41e-01,8.83e-01,1.68e+00,1.19e+00
2012,3.93e+06,4.63e+07,6.01e-06,8.43e-01,8.84e-01,1.66e+00,1.18e+00
2013,4.16e+06,4.11e+07,4.76e-06,8.41e-01,8.83e-01,1.65e+00,1.17e+00
2014,4.35e+06,4.52e+07,4.78e-06,8.43e-01,8.85e-01,1.64e+00,1.17e+00
2015,4.33e+06,5.73e+07,6.10e-06,8.42e-01,8.83e-01,1.72e+00,1.21e+00
2016,4.33e+06,6.45e+07,6.89e-06,8.35e-01,8.81e-01,1.84e+00,1.26e+00
2017,4.51e+06,7.29e+07,7.19e-06,8.41e-01,8.88e-01,1.72e+00,1.20e+00
2018,4.68e+06,5.81e+07,5.30e-06,8.5e-01,8.96e-01,1.66e+00,1.17e+00
2019,1.59e+06,2.93e+07,2.32e-05,8.83e-01,9.28e-01,1.75e+00,1.23e+00
