Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2002,9,13,0.3611111111111111,0.9142857142857144,0.7272727272727273,2.0,1.0
2003,29,72,0.17733990147783252,0.8973930149390256,0.9531914893617021,1.2,1.0
2004,86,167,0.04569083447332421,0.903423967477007,0.9162201129400457,1.4,1.0666666666666667
2005,136,361,0.03932461873638344,0.8984698671799365,0.9528273162244454,1.1818181818181819,1.0
2006,133,331,0.03770790612895876,0.8951445844056218,0.9237134030047911,1.380952380952381,1.0
2007,300,800,0.017837235228539576,0.9077660373012186,0.9447311770037743,1.1666666666666667,1.0
2008,360,1780,0.027545651501083256,0.9106044566995688,0.9484604181546775,1.2727272727272727,1.0454545454545454
2009,459,1862,0.017714606463643198,0.8688101181056042,0.9174589386048734,1.3103448275862069,1.0517241379310345
2010,683,9406,0.04038591173149337,0.9028951087673676,0.9490213087786501,1.25,1.0294117647058822
2011,1311,111760,0.13014946925894225,0.9166195043936656,0.9409160329800764,1.3411764705882352,1.0588235294117647
2012,818,3667,0.010974014897367374,0.9038444236958147,0.9407001043827409,1.2553191489361701,1.0
2013,1205,6452,0.00889428047586882,0.9083809742292319,0.9539366635184962,1.3361344537815125,1.0924369747899159
2014,1257,8068,0.010220472361147004,0.9155880885665755,0.9401890019966772,1.2704918032786885,1.0163934426229508
2015,1574,51419,0.04153556966309652,0.8994278177837629,0.9216438018197363,1.3333333333333333,1.054263565891473
2016,1613,9977,0.0076741549353192655,0.9272697643556013,0.9408863613935345,1.2985074626865671,1.0746268656716418
2017,2530,27734,0.00866908290705289,0.8915181033515781,0.9277223483778357,1.4162162162162162,1.0918918918918918
2018,1657,11528,0.00840235685818326,0.905412965554149,0.9573897543161516,1.3525641025641026,1.064102564102564
2019,5,4,0.4,0.6299605249474366,1.0,1.0,1.0
