Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
1990,2,1,1.0,,,,
1991,3,3,1.0,1.0,1.0,1.0,1.0
1996,9,36,1.0,1.0,1.0,1.0,1.0
1999,2,1,1.0,,,,
2002,10,45,1.0,1.0,1.0,1.0,1.0
2003,6,15,1.0,1.0,1.0,1.0,1.0
2004,2,1,1.0,,,,
2005,6,7,0.4666666666666667,1.0,1.0,1.0,1.0
2006,4,2,0.3333333333333333,,,,
2007,38,93,0.13229018492176386,1.0,1.0,1.0,1.0
2008,6,3,0.2,,,,
2009,65,212,0.10192307692307692,1.0,1.0,1.0,1.0
2010,94,250,0.057195149851292613,1.0,1.0,1.0,1.0
2011,224,4570,0.18297565663036516,1.0,1.0,1.0,1.0
2012,145,325,0.031130268199233715,1.0,1.0,1.0,1.0
2013,273,663,0.017857142857142856,0.9956190476190477,0.9865454545454546,1.04,1.0
2014,652,2152,0.010140133631129079,0.9776364608361483,0.9796234974922426,1.0761904761904761,1.0
2015,5047,36445,0.002862117105942154,0.9286779752543071,0.954151518084525,1.23719165085389,1.0398481973434535
2016,19829,188287,0.0009577906838795486,0.8891826000680463,0.9348576865264492,1.3742981908920773,1.066126013724267
2017,38557,339911,0.0004572987432080184,0.8808411991214598,0.9310647447765023,1.3994778067885119,1.0783289817232375
2018,44194,3021240,0.00309384410274154,0.8907117369650305,0.9385914894816192,1.3696883852691217,1.0683427762039661
2019,2327,10320,0.003813323056082823,0.9423280214336601,0.9722692203459014,1.1602787456445993,1.0209059233449478
