Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2005,2,1,1.0,,,,
2006,94,4371,1.0,,,,
2007,318,15707,0.3116282760946769,0.9242397971911809,0.9578523774224293,1.2857142857142858,1.0
2008,321,7423,0.14452881619937694,0.9758503401360544,0.9896406838597508,1.0714285714285714,1.0
2009,417,16544,0.19073971591957203,0.8894505596970445,0.9043968253968253,1.28,1.08
2010,3383,2799053,0.4892890724188305,0.8845468385109678,0.9519268539030208,1.2666666666666666,1.0
2011,2225,710555,0.28718575701236765,0.9226733128925454,0.9569106442252487,1.2083333333333333,1.0416666666666667
2012,3951,2919874,0.3741881081219624,0.9235367401060693,0.9520682041150129,1.2542372881355932,1.0338983050847457
2013,496,14096,0.1148256761159987,0.945289709716693,0.9630049060728538,1.1794871794871795,1.0
2014,1202,441866,0.6121714987926035,0.9567098751438385,0.9727785577373054,1.119047619047619,1.0
2015,362,12677,0.194012947460247,0.9625945457340054,0.9904805653103453,1.0769230769230769,1.0
2016,119,495,0.0705027773821393,0.9974074074074075,0.9949549549549549,1.0666666666666667,1.0
2017,77,257,0.08783321941216678,1.0,1.0,1.0,1.0
2018,25,70,0.23333333333333334,1.0,1.0,1.0,1.0
