,Counter
physics::optics,19
condensed matter physics,72
condensed matter - mesoscale and nanoscale physics,14
condensed matter::strongly correlated electrons,21
"electronic, optical and magnetic materials",46
condensed matter::superconductivity,11
he3 production,28
pb pb --&gt; he3 x,28
d**2n/(mt*dmt*dy),33
physics::instrumentation and detectors,149
physics::accelerator physics,129
pb-pb central collisions,103
physics::plasma physics,107
nuclear experiment,451
6.3,22
mt-m-spectra,33
high energy physics::experiment,318
110309 infectious diseases,11
microbiology,31
molecular biology,69
biochemistry,86
biophysics,28
cell biology,48
virology,18
marine biology,7
29999 physical sciences not elsewhere classified,2
genetics,75
39999 chemical sciences not elsewhere classified,14
infectious diseases,21
evolutionary biology,20
60506 virology,14
alzheimer,1
database,2
genetics(clinical),9
tardbp,1
neurodegeneration,3
als,1
tdp-43,1
database in brief,1
fronto temporal lobar degeneration,1
amyotrophic lateral sclerosis,1
tdp43,1
"60j45, 60j25, 60j50",3
mathematics - probability,16
mathematics::probability,11
analysis,40
mathematics::logic,5
pb pb --> charged charged x,100
inclusive,201
corr,108
pb pb --&gt; charged charged x,100
mathematics::representation theory,4
p-adic groups,1
mathematics::number theory,1
zelevinsky classification,1
algebra and number theory,23
900.0,14
"431770,431770",4
pseudorapidity dependence,1
mult,6
p p --&gt; charged x,14
dn/detarap,6
2360.0,2
single differential distribution,21
900.0-7000.0,4
7000.0,54
p p --> charged x,14
"26119403,26119403",2
"431770,26119403",2
dn/detrap,1
proton-proton scattering,80
marine science,56
heterotrofne bakterije; pigmenti fitoplanktona; mikrozooplankton; mezozooplankton; jadransko more,1
biology,100
heterotrophic bacteria; phytoplankton pigments; microzooplankton; mesozooplankton; adriatic sea,1
environmental science,23
general relativity and quantum cosmology,87
high energy physics - theory,106
nuclear and high energy physics,200
chemistry,262
interdisciplinary natural sciences,27
hermesinum adriaticum; prorocentrum arcuatum; flagelati; sezonalnost; slano jezero; rogoznica,1
hermesinum adriaticum; prorocentrum arcuatum; flagellates; seasonality; marine lake; rogoznica,1
crystal system,35
crystallography,35
space group,35
crystal structure,36
experimental 3d coordinates,35
cell parameters,35
"3,3'-((4-(trifluoromethyl)phenyl)methylene)bis(4-hydroxy-2h-chromen-2-one)",1
high energy physics - phenomenology,79
general physics and astronomy,117
balaban index; wiener index; distance sums; lower and upper bounds,1
metal-organic papers,2
digestive disorders,1
large felids,1
general veterinary,6
immunohistochemistry,5
veterinary medicine,14
sf600-1100,6
virus,1
"1,1'-propane-1,3-diylbis(3-(2-naphthyl)urea)",1
"biochemistry, medical",4
nutritional diseases. deficiency diseases,4
"endocrinology, diabetes and metabolism",7
clinical biochemistry,11
short report,3
rc620-627,4
endocrinology,7
biomedicine and healthcare,13
bacteria,6
crayfish,1
food technology,3
aquaculture. fisheries. angling,8
water science and technology,13
sh1-691,8
ecology,27
biotechnical sciences,3
api 20e,1
"management, monitoring, policy and law",5
maldi-tof ms,1
agronomy,6
aquatic science,48
nature and landscape conservation,2
p pb --&gt; k- x,2
p pb --&gt; k+ x,2
pt,7
p pb --&gt; pbar x,2
p pb --&gt; pi- x,4
p pb --> p x,1
n/n,4
p pb --&gt; lambda x,1
p pb --&gt; pi+ x,4
p pb --&gt; k0s x,1
p pb --&gt; lambdabar x,1
p pb --> k0s x,1
exclusive,7
strange production,13
p pb --> pi+ x,3
p pb --> pi- x,3
p pb --> lambdax,1
p pb --&gt; lambdax,1
p pb --> lambdabar x,1
dn/dpt/dyrap,2
p pb --&gt; p x,2
p pb --> pbar x,1
nuclear theory,73
p pb --> k- x,1
rapidity dependence,26
p pb --> k+ x,1
5020.0,9
p pb --> lambda x,1
p pb --> k0s   x,1
transverse momentum dependence,33
arts and humanities (miscellaneous),15
body mass index; longevity; crohort study,1
anthropology,14
general medicine,186
/,83
pb pb --&gt; d*+ x,1
charm production,5
pb pb --&gt; d*- x,1
high energy physics::phenomenology,60
pb pb --> d0bar x,1
pb pb --> d+ x,1
pb pb --> d- x,1
astrophysics::high energy astrophysical phenomena,72
pb pb --> d0 x,2
pb pb --&gt; d- x,1
2760.0,33
pb pb --> d*+ x,1
pb pb --> d*- x,1
pb pb --&gt; d0 x,2
pb pb --&gt; d0bar x,1
pb pb --&gt; d+ x,1
dn/dyrap,7
p p --> j/psi x,10
j/psi,30
p p --&gt; j/psi x,10
physics and astronomy (miscellaneous),51
spektrometrija masa; institut ruđer bošković; povijest; pregled,1
institut ruđer bošković; history; review,1
condensed matter - strongly correlated electrons,32
condensed matter - superconductivity,11
oceanography,42
[phys.hexp]physics [physics]/high energy physics - experiment [hep-ex],117
physique des particules élémentaires,51
física,53
quarkonium production,1
particle physics - experiment,128
physics,297
high energy physics - experiment,137
cms,12
[ phys.hexp ] physics [physics]/high energy physics - experiment [hep-ex],49
ddc:530,22
quarkonium polarization,1
chemical freeze-out,3
collisions,2
production,1
ddc:500.2,4
engineering (miscellaneous),26
pb pb --&gt; charged x,12
pb pb --> charged x,12
n,5
polyoxomolybdates; polyoxomolybdovanadates; synthesis; crystal and molecular structure; application,1
computer science::machine learning,1
nuclear physics - experiment,59
computer science::digital libraries,2
statistics::machine learning,1
computer science::mathematical software,2
computer science applications,22
electrical and electronic engineering,19
control and systems engineering,3
[phys.nexp]physics [physics]/nuclear experiment [nucl-ex],62
[ phys.nexp ] physics [physics]/nuclear experiment [nucl-ex],31
neutral pion production; pp collisions; pb-pb collisions,1
cp violation,1
electroweak transitions,1
k mesons,1
chiral lagrangians,1
quark models,1
high energy physics::lattice,20
croatia,13
haemagglutination inhibition,1
meleagris gallopavo,1
egg drop syndrome virus,1
applied mathematics,65
general mathematics,11
social and behavioral sciences,3
research article,110
botany,3
general agricultural and biological sciences,54
environmental law,1
plant science,21
commercial law,1
science policy,2
law,1
behavioral matrix,1
medicine,73
science policy and economics,1
q,62
economic geography,1
r,65
economics,1
science,62
"general biochemistry, genetics and molecular biology",73
administrative law,1
environmental economics,1
mycology,1
international trade,1
physics - popular physics,2
statistical and nonlinear physics,24
physics - classical physics,6
statistics and probability,26
condensed matter - other condensed matter,9
high energy physics::theory,15
physical chemistry,16
materials,2
micro and nano technologies,1
astrophysics,14
astrophysics::cosmology and extragalactic astrophysics,22
"surfaces, coatings and films",14
surfaces and interfaces,8
materials chemistry,17
cms experiment,6
[phys.hexp] physics/high energy physics - experiment,64
hadron-hadron scattering,9
quantum chromodynamics (qcd),4
black holes,1
physics::fluid dynamics,2
p p --&gt; x,1
p p --> x,1
basic medical sciences,71
geometry and topology,17
numerical analysis,12
mathematics - spectral theory,5
matrix pairs,1
rotation of eigenvectors,1
discrete mathematics and combinatorics,47
mathematics - numerical analysis,7
biotechnology,55
tp368-456,41
porifera,1
suberites domuncula,2
codon usage,1
tp248.13-248.65,34
food processing and manufacture,41
physics - general physics,2
mathematics::quantum algebra,14
mathematicsofcomputing_discretemathematics,3
stomatognathic diseases,7
cancer research,13
oncology,20
organic chemistry,54
spectroscopy,22
analytical chemistry,22
correction,1
physics::general physics,6
quantum physics,42
silicon nitride; thin film; lpcvd method; raman; ftir,1
general chemistry,99
p p --> jet jet x,4
dsig/dyrap,11
single differential cross section,18
p p --&gt; jet jet x,4
dijet production,5
jet production,10
computer science - numerical analysis,4
mathematicsofcomputing_numericalanalysis,8
"68w10 (primary) 65f15, 65y05, 65y20 (secondary)",1
g.4,4
g.1.3,4
computingmethodologies_symbolicandalgebraicmanipulation,4
clinical medical sciences,15
nebulae,1
space telescopes,2
telescopis espacials,2
astronomy and astrophysics,72
astrofísica,5
púlsars,1
electrónica,30
space and planetary science,30
gamma ray astronomy,3
astrophysics::galaxy astrophysics,10
astronomia de raigs gamma,3
electricidad,30
nebuloses,1
física nuclear,36
pulsars,1
he-3 production,40
pb pb --&gt; 3he x,40
d**2n/(dpt*dy),60
pt-spectra,60
7.6,21
ddc:520,21
astrophysics - cosmology and nongalactic astrophysics,23
applications notes,1
"computer science - distributed, parallel, and cluster computing",2
computational theory and mathematics,10
computational mathematics,17
"computer science - computational engineering, finance, and science",1
quantitative biology - genomics,1
sequence analysis,1
8.8,23
b2,5
coalescence,10
d production,25
pb pb --&gt; d x,25
human physiology,2
mathematical physics,28
"atomic and molecular physics, and optics",39
on-shell [higgs particle],1
z0 --> neutrino antineutrino,1
leptonic decay [z0],1
(4lepton) [mass spectrum],1
decay rate [higgs particle],1
fusion [gluon gluon],1
higgs,2
mass [higgs particle],1
cern lhc coll,6
p p --> higgs particle anything,1
z0 --> lepton+ lepton-,1
experimental results,6
pair production [z0],1
transverse [mass spectrum],1
fusion [vector boson],1
(dilepton neutrino antineutrino) [final state],1
diboson,1
width: upper limit [higgs particle],1
off-shell [higgs particle],1
background,3
decay [higgs particle],1
higgs particle --> 2z0,1
qc1-999,24
higgs boson,3
properties,1
8000 gev-cms [7000],1
particle ratios,1
lhc,18
alice,6
[phys.nexp] physics/nuclear experiment,30
baryon anomaly,1
nuclear modification factor,2
high pt,1
identified particle production,1
alice; baryon anomaly; identified particle production; lhc; nuclear modification factor; particle ratios; nuclear and high energy physics,1
inorganic chemistry,17
colloid and surface chemistry,2
catalysis,14
article,29
qa299 analysis,1
"1-(3-[(2,5-dihydroxybenzylidene)amino]phenyl)ethanone",1
triticeaegenome,1
food and beverages,51
genetic diversity,4
population structure,2
amova,1
human activities,4
original research,5
wheat,5
darts,1
geology,49
multiplicity,1
distributions,1
energies,4
"pseudorapidity density, nonsingle-diffractive p-pb collision",1
au collisions,1
proton,1
mathematics::k-theory and homology,3
"11g05, 14h52, 11r11",1
mathematics - number theory,12
behavioral disciplines and activities,6
neuroscience,16
mental disorders,11
mechanical engineering,6
metals and alloys,10
condensed matter - materials science,17
mechanics of materials,5
condensed matter - disordered systems and neural networks,6
animal structures,15
integumentary system,3
adamantane; enzymatic stability; human serum; methionine-enkephalin; peptide; unnatural amino acid,1
autophagy,1
colon cancer,1
molecular medicine,11
apoptosis,4
hedgehog signaling,1
gli3,1
gsk3β,1
natural sciences,20
general chemical engineering,8
helleborus niger l.; reproductive development; auxin; cytokinin; gibberrelin; lc-ms/ms analysis,1
fungi,25
"statistics, probability and uncertainty",4
condensed matter - statistical mechanics,18
nutrition. foods and food supply,5
medicine (miscellaneous),4
tx341-641,5
nutrition and dietetics,4
heterocyclic compounds,2
research,18
p pb --&gt; charged charged x,1
p pb --> charged charged x,1
hadron-hadron scattering; nuclear and high energy physics,1
antioxidant properties,1
rosmarinic acid,1
antimicrobial activity,2
lamiaceae,2
principal component analysis,2
phenolics,2
rc648-665,3
diseases of the endocrine glands. clinical endocrinology,3
article subject,28
"digestive, oral, and skin physiology",3
information and communication sciences,4
journals; mapping sciences; career advancement; croatia,1
časopisi; geodezija; izbor u znanstvena zvanja; hrvatska,1
geodesy,1
journalism,1
k0s and lambda production,1
subatomic physics,8
quark-gluon plasma,8
particle-production,2
energy,4
general materials science,12
[phys.cond.cm-ms]physics [physics]/condensed matter [cond-mat]/materials science [cond-mat.mtrl-sci],2
astro-ph.he,22
astrophysics - high energy astrophysical phenomena,33
honey,2
phenolic compounds,2
storage,1
antioxidant activity,2
alkanes; computer program; double invariants; graphical matrices; hosoya matrices; hosoya-wiener indices; numerical matrices; trees,1
"anthocyanidins; kinetics; structure activity; 2,2,6,6 tetramethylpiperidine -1-oxyl = tempo; 4-hydroxy-tempo, 4-methoxy-tempo",1
pb pb --&gt; mu+ x,1
pb pb --&gt; mu- x,1
p p --> mu- x,1
p p --&gt; mu- x,1
p p --> mu+ x,1
p p --&gt; mu+ x,1
pb pb --> mu+ x,1
pb pb --> mu- x,1
raa,10
muon production,26
dsig/dpt,9
dairying,10
aflatoxin m1,4
yoghurt,1
artemia salina,3
sf221-250,10
tlc,2
dehydroacetic acid analogues,1
oxalamide,1
self-assembly,3
full research paper,4
chiral,1
qd241-441,12
retro-peptide,1
organogel,1
angular correlation,3
v2,4
qc120-168.85,1
polymer electrolytes,1
nanostuctured films,1
engineering (general). civil engineering (general),1
gisaxs,2
technology,2
ta1-2040,1
t,2
nanoparticles tio2,1
electrical engineering. electronics. nuclear engineering,4
tk1-9971,4
saxs/dsc/waxd,1
microscopy,1
solar cells,1
qh201-278.5,1
descriptive and experimental mechanics,1
salicylaldehyde 4-phenylthiosemicarbazones; nmr; dft; hydrogen bonds,1
synthesis,2
x-ray crystal structure,1
5-(2-haloethyl)pyrimidine,1
hydrogen bonds,1
mathematics - combinatorics,17
lambda_theta,1
p p --&gt; jpsi x,2
p p --> jpsi x,2
lambda_phi,1
tachyon,1
radion,1
dark matter,2
raneworld,1
r5-920,12
medicine (general),12
"35q30, 76d05, 35b35, 35b40",1
[ math.math-ap ] mathematics [math]/analysis of pdes [math.ap],1
mathematics - analysis of pdes,4
[math.math-ap]mathematics [math]/analysis of pdes [math.ap],1
estels,1
gamma rays,5
004,5
raigs gamma,5
stars,1
physics - instrumentation and detectors,3
instrumentation,11
condensed matter - soft condensed matter,11
isoenzyme pattern,1
horseradish,1
tissue culture,1
oxidative stress,6
tumour tissue,1
antioxidative enzymes,1
17.3,21
animal science and zoology,9
"ecology, evolution, behavior and systematics",41
nephrology,2
original article,4
diseases of the genitourinary system. urology,1
rc870-923,1
cytomegalovirus,1
hemodialysis,1
seroprevalence,2
computer science - social and information networks,4
physics - physics and society,8
physics::physics and society,1
nonequilibrium and irreversible thermodynamics,1
dynamics of social systems,1
networks and genealogical trees,1
computer science::social and information networks,2
quantitative biology::populations and evolution,2
education,15
transverse momentum,4
elastic cross section,1
primary vertex,1
antibaryon to baryon ratio; mid-rapidity; heavy ion collisions,1
time projection chamber,2
systematic uncertainty,1
jel:o15,1
jel:i0,1
"human resources, research capacity, economic growth, republic of croatia",1
jel:o33,3
jel:o10,1
mathematics::classical analysis and odes,4
mathematics,29
qa1-939,19
n-benzyl-3-nitroaniline,1
bioremediation; lignolytic enzymes; white-rot fungi; waste treatment,1
acoustics and ultrasonics,2
beauty,8
bottom,8
prompt,23
pharmacy,5
corrosion; α-fe; hematite; magnetite; wüstite,1
clinical science,11
g,4
ge1-350,5
geography. anthropology. recreation,4
environmental sciences,6
palaeontology,6
microbial pathogens,1
diagnostic medicine,2
lesions,2
hpv-31,1
signs and symptoms,2
pathology and laboratory medicine,2
geographical locations,1
papillomaviruses,1
gynecological tumors,1
"cytology, histology and embryology",1
population groupings,2
epidemiology,6
pathogens,1
people and places,2
cancer detection and diagnosis,2
cancers and neoplasms,1
europe,3
viruses,11
biology and life sciences,18
dna viruses,1
croats,1
cervical cancer,1
medical microbiology,2
viral pathogens,1
ethnicities,2
human papillomavirus,1
organisms,3
gynecology and obstetrics,2
medicine and health sciences,9
hpv-16,1
"lipids (amino acids, peptides, and proteins)",9
"technology, industry, and agriculture",6
environmental engineering,8
"particulate domoic acid, toxic pseudo-nitzschia species, shellfish toxicity, adriatic sea, krka river estuary.",1
physique atomique et nucléaire,1
oscillation,1
neutrino detectors and telescopes,1
"pediatrics, perinatology, and child health",1
developmental biology,15
ascertainment,1
organization,1
congenital anomaly registries,1
estados de saúde e de doença,1
renac,1
embryology,1
population-based,1
geometrical chirality; topological chirality; conformational chirality; symmetry; bijvoet's approach,1
geometrijska kiralnost; topološka kiralnost; konformacijska kiralnost; simetrija; akiralnost; apsolutna konfiguracija; apsolutna konformacija; anomalna disperzija rendgenskog zračenja; bijvoetovi parovi; kružni dikroizam,1
"7-(4-hydroxy-2-oxo-2h-chromen-3-yl)-6h,7h-chromeno[4,3-b]chromen-6-one ethanol solvate hemihydrate",1
s1-972,10
characteristics,1
plant culture,10
sb1-1110,10
xanthium italicum,1
phomopsis helianthi,1
agriculture (general),10
diaporthe/phomopsis,2
matter,2
collaboration,4
perspective,4
scattering [p p],3
(j/psi(3100) phi(1020)) [mass spectrum],1
vertex [track data analysis],1
hadronic decay [b],1
breit-wigner [resonance],1
b+ --> j/psi(3100) phi(1020) k+,1
phi(1020) --> k+ k-,1
7000 gev-cms,2
final state [dimuon],1
mass enhancement,1
width [resonance],1
leptonic decay [j/psi(3100)],1
j/psi(3100) --> muon+ muon-,1
autoimmunity,2
pulmonary and respiratory medicine,4
chemical and pharmacologic phenomena,2
regulatory t cells,1
hemic and immune systems,1
immunology and allergy,4
immunology,16
posttraumatic stress disorder,1
multidisciplinary,5
radiology nuclear medicine and imaging,7
sound production,1
sciences aquatiques & océanologie,1
morphology,2
ophidiidae,1
acoustic,1
ql1-991,2
peixos -- morfologia,1
ophidiidae -- morfologia,1
fishes -- morphology,1
aquatic sciences & oceanology,1
fish,2
ophidiidae -- morphology,1
life sciences,5
sciences du vivant,1
sexual dimorphism,1
zoology,9
fusion,1
[ phys ] physics [physics],2
[phys]physics [physics],2
nuclear physics,5
special aspects of education,1
medicine(all),4
lc8-6691,1
sig,16
supersymmetry,3
p p --> gamma gamma gravitino gravitino quark x,1
integrated cross section,26
p p --&gt; gamma gamma gravitino gravitino quark x,1
cross section,30
susy,1
microstructure; powder diffraction; electron microscopy; sol-gel growth; oxides,1
80699 information systems not elsewhere classified,5
69999 biological sciences not elsewhere classified,16
skin and connective tissue diseases,12
pharmacology,9
plant biology,11
cancer,6
physics - history and philosophy of physics,4
computational biology,19
makromolekularne znanosti; poslijediplomski studij; sveučilišna nastava,1
macromolecular sciences; postgraduate study,1
alpha-(1-carbamyliminomethylene)-gamma-butyrolactone,1
rhamnus intermedia; antioxidant activity; total phenols; total flavonoids; phenolic acids,1
drug discovery,12
pharmaceutical science,4
symmetric difference,1
theoretical computer science,12
composition,1
disjunction,1
additively weighted harary index,1
join,1
"[sdu.envi]sciences of the universe [physics]/continental interfaces, environment",6
"[ sdu.envi ] sciences of the universe [physics]/continental interfaces, environment",5
"[ sdu.ocean ] sciences of the universe [physics]/ocean, atmosphere",6
pollution,17
