Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
1969,2,1,1.0,,,,
1971,2,1,1.0,,,,
1979,4,6,1.0,1.0,1.0,1.0,1.0
1981,2,1,1.0,,,,
1983,2,1,1.0,,,,
1985,7,21,1.0,1.0,1.0,1.0,1.0
1988,55,1485,1.0,,,,
1989,5,10,1.0,1.0,1.0,1.0,1.0
1990,4,6,1.0,1.0,1.0,1.0,1.0
1991,4,6,1.0,1.0,1.0,1.0,1.0
1992,6,6,0.4,1.0,1.0,1.0,1.0
1993,2,1,1.0,,,,
1994,6,7,0.4666666666666667,1.0,1.0,1.0,1.0
1995,21,32,0.1523809523809524,1.0,1.0,1.0,1.0
1996,40,243,0.31153846153846154,1.0,1.0,1.0,1.0
1997,35,266,0.4470588235294118,1.0,1.0,1.0,1.0
1998,23,43,0.16996047430830039,0.9619047619047618,0.9846153846153847,1.2,1.0
1999,20,29,0.15263157894736842,1.0,1.0,1.0,1.0
2000,55,170,0.11447811447811448,0.9298627898945718,0.9806295399515739,1.1428571428571428,1.0
2001,55,194,0.13063973063973064,1.0,1.0,1.0,1.0
2002,33,61,0.11553030303030302,1.0,1.0,1.0,1.0
2003,88,198,0.05172413793103448,0.9046001096001152,0.9229402894364761,1.3333333333333333,1.0
2004,128,341,0.04195374015748032,0.994736842105263,0.9849624060150376,1.0526315789473684,1.0
2005,345,885,0.014914054600606673,0.9324425255514092,0.9467699879812078,1.1538461538461537,1.0576923076923077
2006,397,1040,0.013230542197796605,0.9301653100912598,0.9504980616444191,1.1774193548387097,1.0161290322580645
2007,646,2365,0.011351909184726523,0.9322897925409224,0.9527389272624869,1.206896551724138,1.0229885057471264
2008,649,1809,0.008602978941961993,0.904078425935658,0.939517148262644,1.2058823529411764,1.0098039215686274
2009,778,2320,0.007675688909622071,0.890718895374521,0.9293610970931284,1.2410714285714286,1.0267857142857142
2010,1065,19259,0.0339916693141304,0.9217756195775635,0.9495229149898283,1.25,1.037037037037037
2011,1228,11779,0.015634913682109113,0.9480990200157134,0.9614882645276158,1.1532846715328466,1.0145985401459854
2012,1226,4137,0.005509205313446749,0.9355090870069078,0.9571861965945136,1.1941176470588235,1.0235294117647058
2013,1652,6841,0.005016403588404122,0.9024110655586148,0.9387508839047588,1.3280423280423281,1.0634920634920635
2014,1908,22671,0.012461536939379248,0.9302493454378984,0.946719767690095,1.2487562189054726,1.0348258706467661
2015,2079,11061,0.005120641309284235,0.9335463566296037,0.9580932551791993,1.2583333333333333,1.05
2016,2450,11143,0.003714302380813493,0.9244962032964018,0.9573836370564527,1.2926829268292683,1.0627177700348431
2017,4011,26116,0.0032474286733925593,0.9275644623384077,0.953885145507248,1.3031088082901554,1.0621761658031088
2018,2694,31073,0.008566022995083902,0.9576676665328909,0.9697260849588805,1.2045454545454546,1.0303030303030303
2019,28,141,0.373015873015873,1.0,1.0,1.0,1.0
