Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2003,2,1,1.0,,,,
2004,3,3,1.0,1.0,1.0,1.0,1.0
2005,37,65,0.09759759759759759,0.9016617322850963,0.95,1.125,1.0
2006,33,63,0.11931818181818182,0.8501905320054953,0.9008379888268156,1.5,1.25
2007,49,133,0.1130952380952381,0.9166977771746532,0.95,1.25,1.125
2008,196,1889,0.09884877027734171,0.8300034070228269,0.8772736248348549,1.4285714285714286,1.0952380952380953
2009,266,547,0.015519931905234785,0.9091834440016865,0.9282468153389802,1.205128205128205,1.0256410256410255
2010,403,1284,0.015851264767971558,0.8952575039346071,0.8939371548539817,1.2745098039215685,1.0196078431372548
2011,698,3028,0.012447945143533687,0.8259611116417727,0.884055499329978,1.3625,1.0375
2012,623,2384,0.012304325610442162,0.8782699696692633,0.9282298008403845,1.3,1.0625
2013,676,6942,0.030427350427350428,0.8675481010951751,0.93688858785271,1.463768115942029,1.1159420289855073
2014,662,11622,0.05311918680384477,0.9288806894686817,0.9399059174877428,1.3389830508474576,1.0508474576271187
2015,459,2399,0.022823491356756192,0.9302052044425395,0.9580059874342634,1.2549019607843137,1.0196078431372548
2016,652,4063,0.01914468538256387,0.9186972548520733,0.9507184170072064,1.3134328358208955,1.044776119402985
2017,957,47158,0.1030897636005124,0.8960959701157954,0.9388773249565834,1.337837837837838,1.0405405405405406
2018,383,1272,0.017388213743797246,0.9245245771150451,0.9480875792751161,1.26,1.04
2019,3,3,1.0,1.0,1.0,1.0,1.0
