,Counter
bacteria,36
microbiology,212
medicine,258
plant biology,41
110309 infectious diseases,42
immunology,127
19999 mathematical sciences not elsewhere classified,42
genetics,313
69999 biological sciences not elsewhere classified,122
infectious diseases,66
60506 virology,42
virology,39
"mesh: drug resistance, bacterial",1
dispatch,1
typhoid fever,1
"drug resistance, bacterial [mesh]",1
bacterial infections and mycoses,8
mutation [mesh],1
anti-bacterial agents [mesh],1
"genes, bacterial [mesh]",1
microbial sensitivity tests [mesh],1
mesh: phenotype,1
"gene expression regulation, bacterial [mesh]",1
[ sdv.mp.bac ] life sciences [q-bio]/microbiology and parasitology/bacteriology,2
epidemiology,18
gyrb,1
typhoid fever [mesh],1
salmonella,5
expedited,1
treatment failure,1
antimicrobial resistance,2
mesh: mutation,1
mesh: salmonella typhi,1
humans [mesh],1
salmonella typhi [mesh],1
mesh: humans,3
phenotype [mesh],1
"mesh: gene expression regulation, bacterial",1
mesh: typhoid fever,1
mesh: quinolones,1
[sdv.mp.bac]life sciences [q-bio]/microbiology and parasitology/bacteriology,4
haplotypes [mesh],1
"mesh: genes, bacterial",1
quinolones [mesh],1
microbiology (medical),50
mesh: microbial sensitivity tests,1
mesh: haplotypes,1
mesh: anti-bacterial agents,1
ciprofloxacin,2
research article,349
plexin-a4,1
animal structures,13
guidepost cells,1
thalamocortical connectivity,1
subpallium,1
plexin-a2,1
bepress|life sciences|biology,6
bepress|life sciences|neuroscience and neurobiology,1
nervous system,31
semaphorin-6a,1
embryonic structures,12
developmental neuroscience,10
review article,18
"general biochemistry, genetics and molecular biology",243
general immunology and microbiology,20
article subject,19
general medicine,259
applied mathematics,116
theoretical computer science,43
mathematics::algebraic geometry,6
general engineering,48
curve,1
genus,1
finite field,1
supersingular,1
algebra and number theory,56
crystal system,103
crystallography,110
space group,103
crystal structure,109
experimental 3d coordinates,103
cell parameters,103
4-amino-n-(diaminomethylene)benzenesulfonamide monohydrate,4
q,174
r,179
science,172
psychiatry,3
spatial micorbial assessment,1
colonic microbiota,1
general agricultural and biological sciences,184
autoimmune diseases,3
biomedical sciences,3
biology,96
genetic mutation,3
immune cells,13
"immunology, inflammation & infection",32
autoimmunity,5
t cells,6
immune response,8
clinical immunology,9
ordinary differential equations,1
general physics and astronomy,137
numerical analysis,17
modulated fourier expansions,1
general mathematics,29
highly oscillatory problems,1
"highly oscillatory problems, ordinary dierential equations, modulated fourier expansions, numerical analysis 1.",1
matemáticas,1
differential equations,5
molecular biology,266
pharmacology,55
checkpoint,1
food and beverages,63
cdc20,1
cell biology,178
bubr1,1
spindle assembly checkpoint,1
short article,1
anaphase promoting complex,1
abba motif,1
mitosis,5
cyclosome,1
antireceptor,1
viruses,26
methyltransferase,2
transcriptional regulator,2
original research,47
panvirome,1
structural proteome,1
"biochemistry, genetics and molecular biology(all)",11
medicine(all),10
biology (general),63
qh301-705.5,63
electrical and computer engineering,21
fiber,1
hetero-core,1
humidity,1
sensor,2
single-mode,1
"atomic and molecular physics, and optics",147
genetic processes,3
bepress|life sciences|genetics and genomics|genomics,2
image processing,48
algorithms,31
computingmilieux_personalcomputing,5
signal processing,25
sports video analysis; semantic knowledge extraction; tennis ball tracking; player tracking;,1
digital video,25
computingmethodologies_imageprocessingandcomputervision,52
"genome, human",1
population genetics,10
genetics(clinical),39
"algorithms, computer simulation, continental population groups, genome, human, haplotypes, human genome project, humans, linkage disequilibrium, models, theoretical, polymorphism, single nucleotide, population, principal component analysis, software",1
software,56
"models, theoretical",1
"ecology, evolution, behavior and systematics",56
continental population groups,1
cancer research,82
population,1
qh426-470,39
haplotypes,1
population biology,5
"polymorphism, single nucleotide",2
computer simulation,3
human genome project,1
humans,16
principal component analysis,5
linkage disequilibrium,1
radiation mechanisms: non-thermal,1
individual: the crab pulsar [pulsars],1
pulsars: individual: the crab pulsar,1
astronomy and astrophysics,70
astrophysics - high energy astrophysical phenomena,56
astrophysics::high energy astrophysical phenomena,79
stars: neutron,2
space and planetary science,70
non-thermal [radiation mechanisms],1
astrophysics::galaxy astrophysics,63
[phys.astr]physics [physics]/astrophysics [astro-ph],4
neutron [stars],1
polarization,1
[ phys.astr ] physics [physics]/astrophysics [astro-ph],2
astrophysics::instrumentation and methods for astrophysics,25
clinical neurology,12
"science & technology, life sciences & biomedicine, clinical neurology, neurosciences, neurosciences & neurology, electroclinical uncoupling, neonatal seizures, automated seizure detection, hypoxic-ischemic encephalopathy, detection algorithm, electroencephalography, mechanism, system",1
sensory systems,6
automated seizure detection,2
physiology (medical),6
neonatal seizures,3
neurology,17
electroclinical uncoupling,1
article,208
chemical detectors,16
environmental engineering,33
water quality; environmental monitoring; sensors,5
condensed matter physics,175
condensed matter::materials science,41
electrical and electronic engineering,134
materials chemistry,51
"electronic, optical and magnetic materials",112
condensed matter::mesoscopic systems and quantum hall effect,31
pharmaceutical science,19
organic cation transporters,2
pharmacology (medical),13
magnetoresistance,1
magnetite,2
bepress|life sciences|genetics and genomics|genetics,1
multidisciplinary,101
drug formulation and delivery,1
research approaches,1
materials characterisation,2
chemical structure,2
"gene regulation, chromatin and epigenetics",2
organic chemistry,49
polymers and plastics,10
astrophysics::cosmology and extragalactic astrophysics,58
nuclear and high energy physics,56
biotechnology,133
autophagy,9
transcriptome,4
mitochondria,6
exercise,6
training,2
functional module,2
network analysis,3
skeletal muscle,4
rnaseq,3
equine,2
astrophysics - solar and stellar astrophysics,43
astrophysics::earth and planetary astrophysics,29
astrophysics::solar and stellar astrophysics,38
polymyxin,2
nisin,5
"lipids (amino acids, peptides, and proteins)",9
lantibiotic,6
"biochemical phenomena, metabolism, and nutrition",19
biofilm,6
perspective,3
p. aeruginosa,1
bacteriocin,8
antibiotics,4
colistin,1
rb1-214,3
staphylococcal,1
pathology,4
[sdv.imm]life sciences [q-bio]/immunology,1
hemolysin proteins,1
empyema,1
fibroblasts,2
intravenous,1
time factors,2
respiratory tract diseases,3
pneumonia,1
[sdv.mp.vir]life sciences [q-bio]/microbiology and parasitology/virology,3
cell line,2
inflammation mediators,1
staphylococcus aureus,7
chemotaxis,1
respiratory system,11
medicine (miscellaneous),11
leukocidins,1
epithelial cells,4
neuroscience (miscellaneous),3
exotoxins,1
3d lung tissue model,1
