Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2002,11,21,0.38181818181818183,0.1435759784582463,0.38461538461538464,2.0,1.0
2003,2,1,1.0,,,,
2004,6,15,1.0,1.0,1.0,1.0,1.0
2005,10,8,0.17777777777777778,1.0,1.0,1.0,1.0
2006,31,47,0.1010752688172043,0.9166666666666666,0.9199999999999999,1.2,1.0
2007,80,126,0.039873417721518985,0.9104014838320093,0.9571509971509972,1.2,1.0
2008,68,72,0.03160667251975417,0.8839896374501692,0.907967032967033,1.2307692307692308,1.0769230769230769
2009,159,361,0.028739750019902872,0.8602674456816207,0.8808285006398214,1.3571428571428572,1.0357142857142858
2010,198,370,0.018971440291237245,0.9427712855946347,0.9607108013937282,1.1428571428571428,1.0
2011,208,460,0.021367521367521368,0.8665420897191335,0.9059496555745972,1.2413793103448276,1.0
2012,266,594,0.016853454390693714,0.9679245809149559,0.9596645079007547,1.1891891891891893,1.027027027027027
2013,309,865,0.018177615264993906,0.93997514604463,0.9471362377893481,1.18,1.0
2014,314,653,0.013288292871532936,0.938942570610505,0.9708904405060426,1.103448275862069,1.0
2015,314,671,0.013654585783765084,0.950503630025795,0.9805891848264731,1.0847457627118644,1.0
2016,984,126756,0.2620896707441133,0.9316129692372371,0.9585095743983212,1.088235294117647,1.0
2017,248,734,0.023964999347002743,0.9741477877559491,0.9918196044956608,1.0555555555555556,1.0
2018,79,214,0.0694579681921454,0.9299489765473432,0.9834333733493398,1.1428571428571428,1.0
