,Counter
biophysics,65
astronomy and astrophysics,115
high energy physics - theory,88
nuclear and high energy physics,130
research article,182
asteraceae,2
serratula,1
issr,1
klasea,1
phylogeny,1
plant science,27
"ecology, evolution, behavior and systematics",31
molecular systematics,1
signal processing,36
electrical and electronic engineering,98
computingmethodologies_imageprocessingandcomputervision,35
astrophysics - solar and stellar astrophysics,57
space and planetary science,111
q1,3
molecular biology,111
drug discovery,12
organic chemistry,45
pharmaceutical science,3
biochemistry,107
molecular medicine,12
clinical biochemistry,6
urban area,1
dam break,1
bathymetry,1
flood maps,1
urban areas,1
land use maps,1
flood wave,1
civil and structural engineering,13
dem,1
water science and technology,11
numerical modeling,1
qp1-981,1
heart development,1
review article,3
shear stress,1
mechanotransduction,1
physics,20
physiology,17
physiology (medical),1
hemodynamics,1
congenital heart defects,1
mathematics::differential geometry,14
mathematics::metric geometry,3
general mathematics,44
mathematics - differential geometry,7
multidisciplinary,44
nervous system,6
article,105
condensed matter physics,132
biomedical engineering,11
general materials science,52
"atomic and molecular physics, and optics",109
bioengineering,22
orthopedics and sports medicine,1
musculoskeletal system,1
articles,17
general medicine,140
physics::optics,58
physical and theoretical chemistry,37
"electronic, optical and magnetic materials",106
condensed matter - materials science,54
general engineering,37
general physics and astronomy,105
ir-100416,1
body worn sensing,1
ewi-26951,1
sensor fusion,1
analytical chemistry,26
body-worn sensing,1
smartwatch sensors,1
metis-316896,1
gesture recognition,1
behavior analysis,1
smoking recognition,1
physics::fluid dynamics,12
physics::atomic and molecular clusters,11
physics and astronomy (miscellaneous),39
colon cancer,1
biomarker.,1
research paper,12
prognosis,7
oncology,33
mathematical physics,73
mathematics - algebraic topology,15
mathematics::algebraic topology,7
"57p10, 55n22, 55s35, 55s45",1
mathematics - geometric topology,13
"key words: compositae, epitrachys, morphology, new species, revision",1
mathematics::k-theory and homology,5
"primary: 57s25, secondary: 55r91",1
organic papers,4
alzheimer's disease,2
r858-859.7,16
sensory-evoked,2
computer applications to medicine. medical informatics,16
neurology. diseases of the nervous system,4
coherence,1
connectivity,2
eeg,2
rc346-429,4
regular article,2
event-related,2
gamma,2
q,69
r,76
mama -- càncer -- aspectes genètics,1
science,69
"general biochemistry, genetics and molecular biology",91
proteïnes -- metabolisme,1
medicine,97
general agricultural and biological sciences,65
cpg odn,1
type i interferon,1
author's view,1
vaccine adjuvant,1
immunology and allergy,5
immunology,28
science (general),21
q1-390,21
general environmental science,13
article subject,48
physics - optics,50
quantum physics,86
schiff base molecule,1
monolayers,2
mechanical engineering,28
density functional theory,2
switches,1
mechanics of materials,16
scanning tunneling microscopy,1
general chemistry,51
general relativity and quantum cosmology,74
astrophysics,25
statistical and nonlinear physics,44
computational theory and mathematics,32
computer science applications,60
condensed matter - soft condensed matter,7
original article,35
rk1-715,3
odontoclast,1
tegdma,1
rankl,1
dentistry,3
human dental pulp cell,1
opg,1
stomatognathic diseases,7
general dentistry,8
musculoskeletal diseases,3
stomatognathic system,10
respiratory system,2
cardiovascular system,9
microsatellites,4
agronomy and crop science,8
food and beverages,33
genetic diversity,2
biotechnology,58
genetics,145
gs-flx pyrosequencing technology,1
papaver somniferum l.,2
genomic ssrs,1
condensed matter - strongly correlated electrons,29
"surfaces, coatings and films",37
