,Counter
statistics - machine learning,90
computer science - software engineering,10
computer science - learning,37
computer science - databases,5
monoamine transporters,1
dat,1
electrophilic fluorination,2
original research,209
[18f]cft,1
net,1
mathematics::metric geometry,40
mathematics::dynamical systems,10
geometry and topology,22
mathematics::general topology,8
analysis,78
mathematics - metric geometry,58
mathematics - differential geometry,42
"30l99, 31e05, 28a80",1
ddc:330,28
bepress|life sciences|biology,21
bepress|life sciences|bioinformatics,4
multidisciplinary,257
article,467
110309 infectious diseases,114
69999 biological sciences not elsewhere classified,230
ecology,361
evolutionary biology,134
59999 environmental sciences not elsewhere classified,96
virology,86
fungi,143
infectious diseases,103
60506 virology,76
agricultural and biological sciences(all),27
applied mathematics,206
virus evolution,1
"[ sdv.bbm.gtp ] life sciences [q-bio]/biochemistry, molecular biology/genomics [q-bio.gn]",2
general agricultural and biological sciences,491
"bbm:gtp] life sciences/biochemistry, molecular biology/genomics [[sdv]",1
bibs] life sciences/quantitative methods [[sdv],2
"bibs] sciences du vivant/bio-informatique, biologie systémique [[sdv]",2
[sdv.bibs]life sciences [q-bio]/quantitative methods [q-bio.qm],3
"[sdv.bbm.gtp]life sciences [q-bio]/biochemistry, molecular biology/genomics [q-bio.gn]",2
polintons,1
double jelly-roll fold,1
immunology,161
[info.info-bi]computer science [cs]/bioinformatics [q-bio.qm],4
capsid proteins,4
viruses,83
[ sdv.bibs ] life sciences [q-bio]/quantitative methods [q-bio.qm],2
discovery notes,1
"ecology, evolution, behavior and systematics",232
[ info.info-bi ] computer science [cs]/bioinformatics [q-bio.qm],3
info_bi] computer science/bioinformatics [[info],2
"biochemistry, genetics and molecular biology(all)",47
mavericks,1
info_bi] informatique/bio-informatique [[info],2
"bbm:gtp] sciences du vivant/biochimie, biologie moléculaire/génomique, transcriptomique et protéomique [[sdv]",1
"general biochemistry, genetics and molecular biology",579
modelling and simulation,76
transposable elements,2
218 environmental engineering,108
221 nanotechnology,130
condensed matter physics,270
214 mechanical engineering,104
114 physical sciences,253
condensed matter - other condensed matter,68
"electronic, optical and magnetic materials",150
condensed matter - superconductivity,105
"atomic and molecular physics, and optics",193
quantum physics,209
cytotoxicity assesment,1
general engineering,25
engineering(all),11
lab-on-cmos,1
low temperature co-fired ceramics,1
capacitance sensing,2
hardware_integratedcircuits,3
electronics packaging,1
hardware_logicdesign,4
hardware_performanceandreliability,3
extension,1
computational theory and mathematics,97
computational mathematics,64
mathematics::spectral theory,16
mathematics::complex variables,31
mathematics::operator algebras,7
boundary-value-problems,1
mathematics - probability,53
statistics and probability,129
research article,868
developmental biology,215
physiology,168
plant biology,83
medicine,669
general medicine,641
q,472
r,473
science,472
pharmacology,114
biophysics,122
113 computer and information sciences,107
electronics,21
computer science::sound,7
"213 electronic, automation and communications engineering, electronics",63
111 mathematics,24
tk5101-6720,16
tk7800-8360,19
telecommunication,16
physics and astronomy (miscellaneous),70
general mathematics,124
condensed matter - quantum gases,60
epilepsy,6
demyelinating disorders,1
animal models,28
magnetic resonance imaging,11
biology,177
neuroscience,142
radiology,5
diagnostic radiology,9
anatomy and physiology,38
central nervous system,8
neuroimaging,17
mouse,10
model organisms,31
neurological system,9
neurology,62
condensed matter - materials science,120
betula pendula,3
shoot elongation,1
sorbus aucuparia,1
common garden,1
local adaptation,4
transplantation,2
subarctic,1
autumn coloration,1
light environment,1
nature and landscape conservation,59
warming climate,1
lynch syndrome,4
ovarian cancer,6
somatic mutation,1
research paper,36
epigenetic regulation,1
oncology,107
colorectal tumor,1
biology and life sciences,172
earth and environmental sciences,1
qh540-549.5,40
qe1-996.5,56
qh501-531,30
geology,101
life,30
earth-surface processes,56
computer science - sound,15
electrical engineering and systems science - audio and speech processing,16
electrical engineering and systems science - signal processing,10
computer science - machine learning,28
hypoxia,6
cell biology,330
reviews,3
molecular medicine,50
cancer,142
vhl,1
oxygen-sensing,1
molecular biology,480
escherichia coli,5
calcium,3
virus replication,2
molecular dynamics simulation,3
protein multimerization,1
recombinant proteins,11
thermodynamics,6
phosphatidylcholines,1
metapneumovirus,1
virus assembly,3
"protein structure, tertiary",6
"microscopy, electron",1
calcium-binding proteins,1
virion,3
"protein structure, secondary",1
x-ray diffraction,2
viral matrix proteins,1
"scattering, small angle",2
structural biology,58
humans,32
marine biology,36
80699 information systems not elsewhere classified,37
space science,78
sociology,69
data_miscellaneous,3
computingmethodologies_documentandtextprocessing,6
39999 chemical sciences not elsewhere classified,99
science policy,29
lag phase,1
perspective,8
biological control,2
specimens,1
evolution,30
natural history collections,1
horticultural invasion,1
invasive species,6
cohort study,14
"public health, global health, social medicine and epidemiology",2
body mass index,18
"folkhälsovetenskap, global hälsa, socialmedicin och epidemiologi",2
geriatrics and gerontology,16
psychiatry and mental health,62
mental disorders,38
epidemiology,111
cellular and molecular neuroscience,76
health policy,24
bias,1
developmental neuroscience,7
clinical neurology,28
dementia,11
obesity,31
thermal tolerance,2
sex difference,2
insect flight,2
thermoregulation,2
butterfly flight,2
pgi,2
dispersal evolution,2
dispersal modeling,2
flightin,2
computer science - computation and language,20
theoryofcomputation_mathematicallogicandformallanguages,16
computer science - artificial intelligence,27
computer science::computation and language (computational linguistics and natural language and speech processing),14
computer science - formal languages and automata theory,35
computer science::formal languages and automata theory,40
space and planetary science,408
individual (bl lacertae = ver j2202+422) [bl lacertae objects],1
520,5
astronomy and astrophysics,470
active [galaxies],35
astrophysics - high energy astrophysical phenomena,147
astrophysics::high energy astrophysical phenomena,198
astrophysics::cosmology and extragalactic astrophysics,207
115 astronomy and space science,54
plant culture,18
sb1-1110,18
raspberry ketone,1
betuligenol,1
bioconversion,1
4-hydroxybenzalacetone,1
plant science,109
plant cell culture,1
general relativity and quantum cosmology,66
endocrine system,14
skin and connective tissue diseases,29
annexin a1,2
brca1 and brca2 mutations,2
breast cancer,38
medicine(all),53
condensed matter - mesoscale and nanoscale physics,226
general materials science,97
articular cartilage,23
indentation,1
body regions,22
biomedical engineering,54
osteoarthritis,16
diagnostic techniques,1
rheumatology,39
orthopedics and sports medicine,49
arthroscopy,6
biomechanics,11
patella,1
ultrasound,3
somateria mollissima,2
(:tba),6
demography,16
finland,37
1986-2013,1
two-sex model,1
eider,1
sex ratio,2
matrix population model,1
genetics,583
mathematics::functional analysis,22
mathematics - complex variables,77
trophic interactions,10
habits,5
nesting habits,1
eukaryota,9
