Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2001,10,14,0.3111111111111111,1.0,1.0,1.0,1.0
2002,47,78,0.07215541165587419,1.0,1.0,1.0,1.0
2003,160,267,0.020990566037735848,0.8949959043959673,0.9217590653074524,1.2258064516129032,1.0
2004,408,1459,0.017572385219444042,0.9062800887261331,0.9265276694382474,1.3018867924528301,1.0754716981132075
2005,755,28240,0.09921478384597818,0.8739746579917903,0.9273076146230596,1.2820512820512822,1.0256410256410255
2006,1012,31687,0.06194117670056259,0.8572781674472585,0.8922349283979709,1.3942307692307692,1.0673076923076923
2007,933,2600,0.00598006338867192,0.8572152382315162,0.9006679881423949,1.3951612903225807,1.0806451612903225
2008,1887,36224,0.02035695479647822,0.8529382707076368,0.9129830545953891,1.4,1.0810810810810811
2009,1915,31605,0.017245471733632355,0.8522638762389997,0.9004908195495852,1.4182692307692308,1.0769230769230769
2010,2261,32972,0.012905245936287883,0.8948725722615761,0.9368337700413516,1.2908366533864541,1.043824701195219
2011,2567,7872,0.002390190744630041,0.8881437674974844,0.9252323873961409,1.328125,1.059375
2012,3503,64594,0.010530909868721483,0.8756591082162111,0.9163152064950447,1.3808049535603715,1.0866873065015479
2013,3813,44670,0.0061464768592782906,0.9019046492607865,0.9276317948006969,1.3700980392156863,1.0784313725490196
2014,3807,15384,0.0021234772187914484,0.88032908021542,0.9212696973907695,1.43520782396088,1.097799511002445
2015,5793,26560,0.0015831642876285247,0.8553836334534535,0.9000930643286261,1.4657534246575343,1.111545988258317
2016,6104,22315,0.001198033582091956,0.8661631269001876,0.9068388094309485,1.4353369763205828,1.0965391621129326
2017,6656,28834,0.0013018876784372652,0.8609972007796372,0.9102614602976277,1.4799301919720769,1.1082024432809774
2018,5689,28240,0.0017454168591940575,0.8772592102883501,0.9220451755457381,1.3859649122807018,1.0701754385964912
2019,543,1662,0.011294367087317281,0.9358777040348365,0.967345125333793,1.1791044776119404,1.0298507462686568
