Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
1995,2,1,1.0,,,,
1996,6,3,0.2,,,,
1997,10,11,0.24444444444444444,0.5333333333333333,0.7142857142857143,2.0,1.0
1998,32,81,0.16330645161290322,0.9800000000000001,0.9428571428571428,1.2,1.0
1999,42,73,0.08478513356562137,0.9833333333333334,0.9523809523809524,1.1666666666666667,1.0
2000,104,235,0.04387602688573562,0.9595610570734283,0.975635593220339,1.0625,1.0
2001,53,71,0.05152394775036284,0.7705437399724644,0.7754010695187166,1.2727272727272727,1.0
2002,163,392,0.029690221919260774,0.9209353842532864,0.943039923039923,1.1333333333333333,1.0
2003,206,525,0.02486384087141842,0.9287870108696966,0.9745917960971724,1.1111111111111112,1.0
2004,208,576,0.026755852842809364,0.8674518371111087,0.9252759299699702,1.3793103448275863,1.103448275862069
2005,271,668,0.018258849255159217,0.9036331941408916,0.9382457212417492,1.1904761904761905,1.0238095238095237
2006,321,909,0.017698598130841122,0.8617329638690729,0.8980899277857074,1.288888888888889,1.0222222222222221
2007,390,1049,0.013829015885571155,0.9176764416897685,0.9341828140249868,1.263157894736842,1.0175438596491229
2008,673,2199,0.00972458076841435,0.8928755127292408,0.9330863100282843,1.28125,1.03125
2009,830,2628,0.00763875768453791,0.8555589412504817,0.8897063402097622,1.3064516129032258,1.032258064516129
2010,1082,4214,0.007205623601067677,0.8797340746334413,0.9183947095067566,1.3214285714285714,1.0285714285714285
2011,1688,10249,0.0071982009062892425,0.8782366700673567,0.9362122928388616,1.3219512195121952,1.048780487804878
2012,2140,12466,0.005446688774997488,0.8791767549174223,0.924728990851145,1.3487394957983194,1.0630252100840336
2013,2880,47258,0.011399116205472579,0.8725329709402521,0.9238673279157634,1.3689655172413793,1.0724137931034483
2014,2719,10646,0.0028810964512393507,0.8821544820537705,0.9344509644177299,1.3954248366013071,1.0784313725490196
2015,2865,11260,0.0027445474665340704,0.8840212378280337,0.9223649597174344,1.3723076923076922,1.0707692307692307
2016,3590,37397,0.005804954942019526,0.8875097996031042,0.9340444855688492,1.3584905660377358,1.078616352201258
2017,3984,34039,0.0042901961851926915,0.8447234082308985,0.9045826122871641,1.4529411764705882,1.0735294117647058
2018,2068,8788,0.004111772076444899,0.9135801676799065,0.9356953979328044,1.3139013452914798,1.0448430493273542
2019,33,71,0.13446969696969696,1.0,1.0,1.0,1.0
