,Counter
nuclear theory,425
high energy physics - phenomenology,809
high energy physics - lattice,342
high energy physics::phenomenology,559
high energy physics::lattice,542
nuclear experiment,238
high energy physics::experiment,464
"info_dc] informatique/calcul parallèle, distribué et partagé [[info]",3
"[info.info-dc]computer science [cs]/distributed, parallel, and cluster computing [cs.dc]",11
"info_dc] computer science/distributed, parallel, and cluster computing [[info]",3
"[ info.info-dc ] computer science [cs]/distributed, parallel, and cluster computing [cs.dc]",6
crystal system,362
crystallography,373
"(mu-(1h-1,2,3-triazole-1,4-diyl)bis(cyclopentadienyl))-bis(cyclopentadienyl)-cobalt-iron hexafluorophosphate dichloromethane solvate",1
space group,362
crystal structure,388
experimental 3d coordinates,362
cell parameters,362
physics::optics,161
physics - optics,109
quantum physics,639
space and planetary science,622
astrophysics::galaxy astrophysics,293
astrophysics - astrophysics of galaxies,60
astronomy and astrophysics,649
astrophysics::cosmology and extragalactic astrophysics,259
astrophysics - cosmology and nongalactic astrophysics,69
condensed matter::strongly correlated electrons,181
condensed matter - materials science,245
condensed matter::superconductivity,76
condensed matter - superconductivity,62
molecular biology,1124
original article,245
genetics,872
gli,1
imiquimod,3
hedgehog signalling,3
adenosine receptor,4
basal cell carcinoma,5
animal structures,76
integumentary system,91
cancer research,158
computational biology,223
viruses,55
developmental biology,333
microbiology,486
plant biology,128
medicine,635
computational  biology,131
110309 infectious diseases,155
cell biology,794
biochemistry,1040
pharmacology,245
immune system diseases,30
virus diseases,20
cancer,151
60506 virology,94
immunology,359
ecological economics,1
research article,962
biology and life sciences,195
behavioral ecology,14
respiratory physiology,1
animal behavior,43
physiology,335
general agricultural and biological sciences,541
ecophysiology,6
general medicine,954
q,481
r,464
ecology,416
insect physiology,1
science,483
invertebrate physiology,1
entomology,8
"general biochemistry, genetics and molecular biology",725
animal physiology,6
zoology,79
biotechnology,341
69999 biological sciences not elsewhere classified,265
local adaptation,3
discoveries,8
demography,19
"ecology, evolution, behavior and systematics",531
selective sweeps,2
arabidopsis thaliana,30
high energy physics - theory,596
mathematics - rings and algebras,143
algebra and number theory,274
physics::medical physics,17
"16h10, 11r27, 11s45",1
condensed matter physics,625
condensed matter - strongly correlated electrons,238
condensed matter - mesoscale and nanoscale physics,193
"electronic, optical and magnetic materials",367
condensed matter - quantum gases,148
communications,49
atmospheric chemistry,2
ir spectroscopy,4
physical and theoretical chemistry,382
gas-phase chemistry,1
mineral dust,1
carbonic acid,1
"atomic and molecular physics, and optics",399
physics::geophysics,16
general physics and astronomy,875
physics - atomic and molecular clusters,25
astrophysics::earth and planetary astrophysics,276
"gef, guanine nucleotide exchange factor",1
"achr, acetylcholine receptor",2
"bgt, bungarotoxin",2
gef,1
"musk, muscle specific kinase",1
"hrp, horseradish peroxidase",4
article,2208
"sh2, src homology 2",1
musk,3
"rtk, receptor tyrosine kinase",2
"gfp, green fluorescent protein",5
rab5,1
"egfr, epidermal growth factor receptor",3
"gst, glutathione s-transferase",2
endocytosis,16
receptor tyrosine kinase,2
"rt-pcr, reverse transcriptase polymerase chain reaction",1
multidisciplinary,432
lecture presentation,57
hypoxic preconditioning,2
epigenetic mechanisms,1
brain hypoxic/ischemic tolerance,1
physics::atomic physics,115
physics - atomic physics,111
physics::atomic and molecular clusters,87
mathematics - optimization and control,131
software,190
"90c26, 90c30, 65k05",1
general mathematics,529
mathematics - numerical analysis,271
cyld,1
autophagy,24
endothelial cell,3
ripk3,1
lipotoxicity,7
fatty acid,3
necrosis (necrotic death),1
palmitic acid,1
mathematics,72
electronic computers. computer science,8
computer science - logic in computer science,181
qa1-939,25
qa75.5-76.95,8
concrete,1
qc120-168.85,11
engineering (general). civil engineering (general),21
technology,45
tensile creep,1
ta1-2040,21
t,44
mass water content,1
electrical engineering. electronics. nuclear engineering,11
tk1-9971,11
general materials science,283
microscopy,17
shrinkage,1
qh201-278.5,11
descriptive and experimental mechanics,11
glucocorticoid receptor,3
therapeutics,4
urologic and male genital diseases,18
research,187
oncology,149
therapy resistance,6
prostate cancer,16
docetaxel,4
"endocrinology, diabetes and metabolism",41
neoplasms,35
organic chemicals,9
endocrinology,67
food and beverages,271
polyphenols,3
free radicals,8
chronic diseases,1
qd241-441,16
iron(ii) autoxidation; dietary antioxidants; polyphenols; superoxide; hydroxyl radical; free radicals; oxidative stress; aging; inflammation; chronic diseases,1
hydroxyl radical,5
inflammation,61
organic chemistry,200
dietary antioxidants,1
aging,37
superoxide,2
oxidative stress,39
iron(ii) autoxidation,1
mini-review,15
clinical biochemistry,66
initial state,1
psi(3685),2
y(4360),1
y(4260),1
psi(4160),1
decay rate,3
kek-b,66
belle,72
charmonium,3
y(4660),2
high energy physics - experiment,196
ddc:530,95
psi(4415),1
t cell regulation,1
immune disease therapy,1
review article,69
rc581-607,37
t cell biology,1
protein kinases,3
pkc isotypes,1
immunologic diseases. allergy,37
applied mathematics,681
clock synchronization,2
computational theory and mathematics,200
modeling framework,1
self-stabilization,1
dependability,1
computer networks and communications,38
computer science::hardware architecture,10
experiments,2
metastability,1
hybrid state machines,1
theoretical analysis,2
byzantine fault-tolerance,1
theoretical computer science,220
hardware implementation,1
mathematical physics,631
magnetic fields,4
[phys.astr.co]physics [physics]/astrophysics [astro-ph]/cosmology and extra-galactic astrophysics [astro-ph.co],12
stars: magnetic fields,1
stars: evolution,4
astrophysics,216
polarization,2
stars: chemically peculiar,2
techniques: polarimetric,1
[phys.astr.co] physics/astrophysics/cosmology and extra-galactic astrophysics,8
astrophysics::solar and stellar astrophysics,338
ddc:330,130
quantum cohomology,1
mirror symmetry,3
20g20,1
total positivity,1
14n15,1
14n35,1
mathematics - algebraic geometry,122
"20g20, 15a48, 14n35, 14n15",1
15a48,1
flag varieties,1
"2,4-dihydroxybenzoic acid hemihydrate",1
histology,38
spiral artery,1
embryonic structures,68
endovascular trophoblast,1
uterine gland,1
trophoblast plug,1
endoglandular trophoblast,1
placenta,8
original paper,190
medical laboratory technology,7
s-layer,6
self-assembly,11
crystallization communications,5
structural biology,150
geobacillus stearothermophilus,1
biophysics,515
computer science - software engineering,19
"heimatrecht, staatsbürgerschaft, juden, österreichische juden, judenemanzipation, toleranz, josephinische reformen, österreichische monarchie, ausgleich, österreich-ungarn, erste republik, nationalsozialistische judenverfolgung, ausbürgerung, holocaust, staatenlosigkeit, zweite republik",1
"citizenship, jews, jewish emancipation, austrian jews, austrian monarchy, josephine reforms, tolerance, ausbürgerung, nazi regime, holocaust, statelessness, austrian republic",1
nuclear and high energy physics,657
finite element method,8
time-domain analysis,1
computer science applications,247
physics and astronomy (miscellaneous),254
perfectly matched layer,1
singular limits,1
"46f30, 35q72, 82c22",1
algebras of generalized functions,4
mathematics - analysis of pdes,397
vlasov–poisson system,1
35a05,1
analysis,327
"53c44 (primary), 35k55, 58j35 (secondary)",1
mathematics::differential geometry,81
mathematics - differential geometry,167
electrochemistry,26
mass spectrometry,43
technical note,9
analytical chemistry,109
electrospray ionization,4
redox buffering,1
original articles,210
basin evolution,1
general earth and planetary sciences,43
ar/ar chronology,1
dinaride lake system,2
pannonian basin,1
evolutionary biology,248
nervous system,118
neuroscience,182
"dichloro-(ethane-1,2-diamine)-bis(4-methoxy-4-oxobutanoato)-platinum(iv)",1
immigration,4
public goods,2
f2,1
h4,2
h5,1
öffentliches gut,3
jel:h5,1
öffentlicher transfer,1
jel:f2,1
jel:h4,1
cash transfers,2
immigration; cash transfers; public goods,1
öffentliche ausgaben,2
makroökonomischer einfluss,1
einwanderung,2
theorie,21
radiological and ultrasound technology,23
physics - medical physics,15
radiology nuclear medicine and imaging,71
"mountain hazards, risk assessment, space, time, risk management,",1
earth and planetary sciences (miscellaneous),39
atmospheric science,98
water science and technology,70
[phys.hphe]physics [physics]/high energy physics - phenomenology [hep-ph],26
n-point function: 4,2
color [expansion 1/n],3
quantum chromodynamics,9
[ phys.hphe ] physics [physics]/high energy physics - phenomenology [hep-ph],10
expansion 1/n: color,8
potential [tetraquark],1
model [tetraquark],1
tetraquark: model,2
tetraquark: potential,1
4 [n-point function],1
80699 information systems not elsewhere classified,69
wasp,4
size,1
body temperature,4
hornet,1
thermoregulation,5
biology (general),167
qh301-705.5,167
oncogene addiction,1
salivary gland cancer,1
akt3,1
mmtv‐tta mouse model,1
original research,238
cancer biology,2
stomatognathic diseases,30
adenoid cystic carcinoma,1
rnai,3
general neuroscience,126
sirna,6
general immunology and microbiology,80
argonaute protein,1
risc assembly,1
articles,156
tetrahymena,1
clathrate hydrates,1
micro-computed x-ray tomography (µct),1
ice,2
micro-computed x-ray tomography (?ct),1
gauss function,1
lattice,5
weierstrass sigma-function,1
gabor frame,4
entire functions of several variables,1
mathematics::functional analysis,61
computer science - artificial intelligence,90
computer science::programming languages,27
hardware and architecture,82
artificial intelligence,92
methods online,8
"90c27, 90b80",1
computer science - discrete mathematics,39
c33,2
monetary union,1
economics as a science,1
h2,1
panel data econometrics,1
h7,1
labor market,3
pensions,1
hb71-74,1
fiscal competition,1
"general economics, econometrics and finance",11
public expenditure,1
genetics(clinical),96
amn,1
the application of clinical genetics,1
r5-920,9
qh426-470,54
mutations,4
x-ald,1
review,210
medicine (general),9
prenatal diagnosis,1
incidence,2
newborn screening,1
social and behavioral sciences,18
biology,168
mental health,28
neuropsychology,3
anatomy and physiology,17
psychology,100
personality,12
behavioral disciplines and activities,21
behavioral neuroscience,90
neuroanatomy,2
neurological system,2
general relativity and quantum cosmology,291
condensed matter - statistical mechanics,146
condensed matter - disordered systems and neural networks,22
condensed matter::materials science,137
historical ecology,3
historical fish communities,1
russian rivers,1
written sources,1
aquatic science,85
austrian rivers,1
nanodots,1
medicine (miscellaneous),19
sted-lithography,1
nanolithography,1
pharmaceutical science,55
biomedical engineering,50
molecular medicine,188
applied microbiology and biotechnology,108
functional polymers,4
fluorescence microscopy,5
methodology,7
bioengineering,118
sted lithography,1
general engineering,85
zirconium oxo cluster polymerization,1
thiol polymers,1
physics,210
qc1-999,144
mobility,3
mechanical engineering,129
grain boundaries,7
letter,53
polycrystalline graphene,1
charge transport,1
general chemistry,427
vestimentiferan,1
metatrochophore,1
siboglinidae,1
symbiosis,16
larva,2
trophosome,1
report,32
shape modeling,1
computing methodologies,1
computer science - graphics,4
based models,1
point,1
59999 environmental sciences not elsewhere classified,108
sociology,43
waste management and disposal,28
environmental engineering,32
pollution,52
environmental chemistry,61
comparative medicine,1
ige,6
allergooncology,2
immunotherapy,10
comparative oncology,3
human movement,1
ensemble performance,4
musical expertise,3
visual communication,2
interpersonal coordination,3
astrophysics - solar and stellar astrophysics,335
astrophysics - high energy astrophysical phenomena,33
"olympic games, sanctuary of olympia, inscriptions, ancient",1
"olympische spiele, heiligtum in olympia, inschriften,",1
mittelalter buchmalerei kunst methodik deutschland frankreich italien handschriften inkunabeln;middle ages illuminated books art methodology germany france italy manuscripts incunables,1
"öfos, humanities, arts, art history",19
"bic standard subject categories, the arts, history of art / art & design styles, history of art & design styles: c 1400 to c 1600",7
"bic standard subject categories, the arts, history of art / art & design styles, history of art: byzantine & medieval art c 500 ce to c 1400",4
"physics - data analysis, statistics and probability",14
statistics - methodology,22
astrophysics - instrumentation and methods for astrophysics,42
modelling and simulation,184
[ info.info-ro ] computer science [cs]/operations research [cs.ro],7
management science and operations research,52
information systems and management,22
[info.info-ro]computer science [cs]/operations research [cs.ro],8
bodies of water,4
materials physics,3
turbidity,2
earth sciences,23
bacteria,47
chemical properties,2
ecology and environmental sciences,22
prokaryotic cells,1
marine and aquatic sciences,12
physical sciences,97
viral structure,2
people and places,20
capsids,1
aquatic environments,11
baltic sea,1
sea water,2
chemistry,203
cellular types,35
salinity,1
physical chemistry,5
materials science,14
marine environments,3
virology,112
organisms,72
death rates,1
theoryofcomputation_mathematicallogicandformallanguages,107
computer science,45
computer science - data structures and algorithms,40
computer science::computational complexity,9
computer science::logic in computer science,49
"000 computer science, knowledge, general works",32
computingmethodologies_symbolicandalgebraicmanipulation,74
endocrine system,38
multivariate analysis,5
carcinomas,1
flaviviruses,2
hepatocellular carcinoma,7
statistics (mathematics),13
gastroenterology and hepatology,14
hepatitis c virus,1
viral pathogens,3
peptide hormones,2
rna viruses,3
thyroid,1
gastrointestinal tumors,4
statistical methods,17
microbial pathogens,19
hormones,10
hypothyroidism,1
anatomy,65
pathology and laboratory medicine,26
mathematical and statistical techniques,12
endocrine disorders,2
"hormones, hormone substitutes, and hormone antagonists",26
pathogens,13
hepatitis viruses,1
cancers and neoplasms,11
liver diseases,6
hepacivirus,1
research and analysis methods,89
etiology,1
thyroid-stimulating hormone,1
medical microbiology,18
thyroid hormones,4
medicine and health sciences,110
docking,3
method comparison,2
drug discovery,86
pharmacophore modeling,4
peroxisome proliferator-activated gamma partial agonists,1
2d-similarity based search,1
shape-based modeling,2
high energy physics::theory,210
cell elongation,2
fungi,274
auxin signaling,1
live-cell imaging,2
fluids and secretions,11
cell wall ph,1
heterocyclic compounds,15
hypocotyl,2
"world war ii, army of the united states, infantry riflemen, european theater of operations, mediterranean theater of operations, bill mauldin, cartoons, willie & joe",2
"zweiter weltkrieg, us army, infanterie, frontsoldaten, bill mauldin, cartoons, nordwesteuropa, mittelmeerraum, willie & joe",2
"chloro-(1-ethyl-7-methyl-4-oxo-1,4-dihydro-1,8-naphthyridine-3-carboxylato)-(eta^6^-1-isopropyl-4-methylbenzene)-ruthenium(ii) toluene solvate",1
experimental results,53
b0 --> eta(958) k*(892)0,2
branching ratio: measured [b0],3
cp [asymmetry],5
annihilation [electron positron],34
pair production [b],17
hadronic decay [b0],7
k*(892)0,2
10.58 gev-cms,9
eta(958),2
condensed matter::quantum gases,183
condensed matter - other condensed matter,66
condensed matter::other,40
mathematics - algebraic topology,13
geometry and topology,168
computer science::information retrieval,13
computer science::computation and language (computational linguistics and natural language and speech processing),16
computer science::general literature,10
mathematics::category theory,46
mathematics - group theory,97
mathematics - representation theory,87
astrophysics::instrumentation and methods for astrophysics,39
"20c32, 05e45, 55n22, 81t45",1
mathematics - geometric topology,24
innervillgraten dialect,1
linguistics and language,20
viennese dialect,1
bad goisern dialect,1
computer vision and pattern recognition,31
language and linguistics,19
interpolation,4
hmm-based speech synthesis,1
communication,49
austrian german,1
alien plants,1
island flora,3
robinson crusoe islands,2
100 year comparison,1
vegetation change,1
nature and landscape conservation,35
extinction‐based saturation,1
operator product expansion,1
feynman graph,3
duality,4
tetraquark,9
strong interactions,2
computer science::digital libraries,9
quantum chromodynamics: sum rule,2
singularity,2
correlation function,3
anesthesiology and pain medicine,16
hematology,91
hemic and lymphatic diseases,47
decarboxylase,2
hydration,3
full paper,25
full papers,62
catalysis,121
hydroxystyrene,1
biocatalysis,23
nucleophile addition,1
catalytic promiscuity,1
truncated holm,1
non-inferiority,1
min-p test,1
gatekeeping procedure,1
"statistics, probability and uncertainty",75
statistics and probability,210
research articles,188
dunnett test,1
residuated lattices,1
structural rule,1
cut-elimination,5
gentzen system,1
logic,74
substructural logic,1
macneille completions,1
"6-ph2tpa, n,n-bis[(6-phenyl-2-pyridyl)methyl]-n-[(2-pyridyl)-methyl]amine",1
"taud, taurine hydroxylase",1
"acac, acetylacetone (2,4-pentanedione)",1
"mcd, magnetic circular dichroism",1
"pdb, protein data bank",6
structure–function relationships,1
"hgdo, homogentisate 1,2-dioxygenase",1
"cs2, clavaminate synthase",1
"mnhes, mononuclear non-heme-fe(ii) dependent enzymes",1
"dke1, diketone dioxygenase",1
"fla, flavonolate",1
chemistry(all),85
"cd, circular dichroism",2
dioxygen activation,1
"nrp, nonribosomal peptide",1
"ado, cysteamine dioxygenase",1
"xas, x-ray absorption spectroscopy",1
"caros, carotenoid oxygenases",1
"sdo, salicylate 1,2-dioxygenase",1
"ao, apocarotenoid 15,15′-oxygenase",1
"hado, 3-hydroxyanthranilate 3,4-dioxygenase",1
metal binding motif,1
"otf-, trifluormethanesulfonate",1
dioxygenase,1
enzyme catalysis,9
"ard, aci-reductone dioxygenase",1
