Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
2010,12,14,0.21212121212121213,1.0,1.0,1.0,1.0
2011,537,2270,0.015773089857972707,0.9427778566097688,0.9699718630327868,1.1829268292682926,1.0365853658536586
2012,794,2252,0.007153271223965365,0.9395288492232683,0.9570858490055599,1.2118644067796611,1.0338983050847457
2013,1003,3509,0.006983042887306145,0.9538667542669602,0.9721962091373518,1.1575342465753424,1.0205479452054795
2014,1576,6670,0.00537426476512771,0.9470891169608335,0.9530366041288052,1.2465753424657535,1.0365296803652968
2015,1456,13113,0.01237963067859975,0.9309811207681826,0.9593158926500992,1.2277227722772277,1.0445544554455446
2016,1308,15174,0.01775197770649221,0.9445227574260737,0.9662575565731352,1.1890243902439024,1.0304878048780488
2017,1150,3436,0.005200741665720664,0.9335801010459147,0.9607161173118033,1.2241379310344827,1.0344827586206897
2018,937,2755,0.006282552974121811,0.9669506406465079,0.9771817847388783,1.15,1.0214285714285714
2019,11,27,0.4909090909090909,1.0,1.0,1.0,1.0
