Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
1977,5,10,1.0,1.0,1.0,1.0,1.0
1978,19,18,0.10526315789473684,1.0,1.0,1.0,1.0
1979,15,9,0.08571428571428572,1.0,1.0,1.0,1.0
1980,37,41,0.06156156156156156,1.0,1.0,1.0,1.0
1981,63,50,0.025601638504864313,0.9479166666666666,0.95,1.125,1.0
1982,61,55,0.030054644808743168,1.0,1.0,1.0,1.0
1983,86,70,0.019151846785225718,0.912588206475641,0.9555555555555555,1.1111111111111112,1.0
1984,120,169,0.023669467787114845,0.9089616471278775,0.9222222222222223,1.1111111111111112,1.0
1985,120,130,0.018207282913165267,0.7848317707791694,0.8041666666666667,1.25,1.0
1986,152,140,0.012199372603694667,0.9823529411764705,0.9882352941176471,1.0588235294117647,1.0
1987,167,170,0.0122646273717625,0.8694444444444445,0.8666666666666667,1.1666666666666667,1.0
1988,181,188,0.011540822590546347,0.9008322368040955,0.9101851851851852,1.1481481481481481,1.0
1989,199,161,0.00817217400131973,0.9090909090909091,0.9090909090909091,1.1363636363636365,1.0454545454545454
1990,250,209,0.006714859437751004,0.8881809210215327,0.890909090909091,1.1363636363636365,1.0
1991,224,203,0.008127802690582959,0.9426653508315812,0.9504761904761906,1.1333333333333333,1.0
1992,475,629,0.005587386186986454,0.7836740323329144,0.818767879294195,1.3333333333333333,1.0303030303030303
1993,851,79870,0.2208336213451303,0.8257285648866155,0.8778235228663624,1.2857142857142858,1.0142857142857142
1994,692,1843,0.007708523292873694,0.7840920893938962,0.7978136825862279,1.47,1.08
1995,1042,1470,0.0027103718740838665,0.8407344102622756,0.8691253877148831,1.3430232558139534,1.063953488372093
1996,1537,3039,0.0025745161027976578,0.8416210397307573,0.8594832015845263,1.3416666666666666,1.05
1997,1792,5052,0.003148181383106006,0.852271389644714,0.8815026755830113,1.3248175182481752,1.051094890510949
1998,2021,8135,0.003985381219962669,0.8141847882122012,0.8430801449061683,1.390728476821192,1.0596026490066226
1999,2433,14906,0.005038316351915547,0.8693564524686076,0.8967005063292033,1.3144475920679888,1.0594900849858357
2000,3082,21292,0.004484583559489711,0.8239177272532799,0.8565956078330905,1.4325699745547074,1.0865139949109415
2001,3512,33365,0.005411725854765595,0.7986706124856693,0.8434447293200337,1.4138702460850112,1.0648769574944073
2002,4671,79283,0.0072691448488257536,0.8118780449810349,0.847370953377855,1.4611005692599621,1.081593927893738
2003,4757,30239,0.002673144423701745,0.8445690075577755,0.8816391363095952,1.3927335640138407,1.0709342560553634
2004,5688,103242,0.00638327549915827,0.8202478686798216,0.8604309799817675,1.4785932721712538,1.1131498470948011
2005,6536,56440,0.002642769982553223,0.8059251607869932,0.8474012912779335,1.5096685082872927,1.1132596685082874
2006,6937,26069,0.0010836114584731025,0.8378341570971987,0.8700081795778638,1.43375,1.09125
2007,8103,65900,0.0020076006725675503,0.8309159298079148,0.8596249943686681,1.4456289978678039,1.0852878464818763
2008,9237,49657,0.0011641142517525948,0.8574997538879063,0.8872005580983466,1.4026845637583893,1.0882070949185043
2009,11184,178784,0.002858927630931734,0.8521166515815628,0.8816387625127046,1.39375,1.07578125
2010,12889,220260,0.002651922813803522,0.8670076052781533,0.8887882426229746,1.3752635277582572,1.0751932536893887
2011,14421,214642,0.0020643534851172984,0.8535631374348196,0.8818746680625882,1.3972780298120544,1.0784186649384315
2012,16563,145171,0.0010584201077641707,0.8621692746355805,0.8906494378964911,1.385739333722969,1.0742255990648744
2013,18418,228254,0.0013458201795351029,0.8800287098415196,0.910122249935231,1.369262506446622,1.075812274368231
2014,22418,386168,0.0015368515587160987,0.8867890142074537,0.913400889117329,1.3710428305400373,1.074487895716946
2015,25835,405945,0.001216457866296434,0.8811543394151397,0.903734439234165,1.3554463554463554,1.0626535626535627
2016,28596,485570,0.0011876444764234704,0.880412636413997,0.9095712805473203,1.3852589641434263,1.0756972111553784
2017,30036,413108,0.0009158489863215693,0.8950752376878193,0.9259462716127522,1.3553846153846154,1.0673076923076923
2018,20056,317276,0.0015776121052029138,0.9348325031388399,0.9540455801162235,1.2391786903440623,1.0355160932297447
2019,209,3100,0.14262053735737945,0.9966873706004141,0.9915164369034994,1.0434782608695652,1.0
