,Counter
prokaryotes,19
tp1-1185,77
:ciències de la salut [àrees temàtiques de la upc],1
àrees temàtiques de la upc::ciències de la salut,1
analytical chemistry,78
parkinson’s disease,7
"parkinson, malaltia de",1
:enginyeria biomèdica [àrees temàtiques de la upc],3
àrees temàtiques de la upc::enginyeria biomèdica,3
ambulatory monitoring,1
support vector machines,2
parkinson's disease -- research,1
ajuts tecnològics per als discapacitats,1
parkinson?s disease,5
inertial sensors,1
biosensors,3
"atomic and molecular physics, and optics",115
article,569
support vector machine,2
motor fluctuations,1
:enginyeria electrònica [àrees temàtiques de la upc],2
biochemistry,660
àrees temàtiques de la upc::enginyeria electrònica,2
self-help devices for people with disabilities,1
chemical technology,77
electrical and electronic engineering,109
original article,88
microbiology,373
"ecology, evolution, behavior and systematics",145
icam-1,1
"general biochemistry, genetics and molecular biology",812
epithelial cells,10
apicobasal,1
biología y biomedicina / biología,32
biology (general),129
qh301-705.5,129
fourier coefficients of modular forms,1
shimura lift,1
"11f37 (primary), 11f30, 11f80, 11f11",1
mathematics::number theory,21
algebra and number theory,49
11f30,1
half-integral weight modular forms,1
11f37 (primary),1
11f11,1
sato-tate equidistribution,1
mathematics - number theory,45
11f80,1
"physical, chemical, mathematical & earth sciences :: mathematics [g03]",3
density of sets of primes,1
"physique, chimie, mathématiques & sciences de la terre :: mathématiques [g03]",3
research article,1094
earth sciences,38
education,47
diagnostic medicine,58
signs and symptoms,20
sociology,103
pathology and laboratory medicine,78
geographical locations,37
general agricultural and biological sciences,641
malaria,11
people and places,55
geography,11
public and occupational health,30
socioeconomic aspects of health,5
rural areas,2
health care,27
africa,11
medicine,1009
tropical diseases,18
urban areas,2
general medicine,945
health education and awareness,2
q,581
r,667
equatorial guinea,12
schools,5
social sciences,66
convulsions,1
science,582
parasitic diseases,82
medicine and health sciences,278
geographic areas,2
space and planetary science,416
astrophysics::galaxy astrophysics,220
astronomy and astrophysics,468
astrophysics::cosmology and extragalactic astrophysics,295
astrophysics - cosmology and nongalactic astrophysics,230
acute pulmonary edema,1
coronary artery disease,3
heart failure,16
cardiology and cardiovascular medicine,38
original research,255
long‐term mortality,1
long?term mortality,1
centromere,1
noncoding rna,2
genetics,906
genòmica,12
phylogeny,9
introgression,1
llevats,1
synteny,2
non-small cell lung cancer,2
european population,1
epidermal growth factor receptor,1
thymidylate synthase,3
prognostic factors,2
polymorphisms,5
research,192
genotype,6
"biochemistry, genetics and molecular biology(all)",37
predictive factors,1
medicine(all),49
non-small cell lung cancer (nsclc),3
general relativity and quantum cosmology,155
mathematics::differential geometry,21
mathematics::metric geometry,6
mathematical physics,90
physics and astronomy (miscellaneous),104
mathematics - differential geometry,43
leukemia,9
biotechnology,253
expression,7
disease,7
gene,5
microarray,7
gene networks,2
disease classification,1
acute leukemia,4
cancer,360
expression profile,1
rna-seq,19
computational biology,254
space science,110
pharmacology,206
computational  biology,145
astrophysics - instrumentation and methods for astrophysics,29
physics - instrumentation and detectors,19
instrumentation,18
lymphoproliferative disorders,1
review,144
mir-17-92 cluster,1
anti-mirna based target therapy,1
cell biology,599
biophysics,171
multidisciplinary,287
tsetse,1
infectious diseases,297
trypanosomiasis,1
luba,1
bioko,1
glossina palpalis palpalis,1
parasitology,61
alzheimer’s disease diagnosis,1
alzheimer's disease diagnosis,1
spontaneous speech,1
machine learning,5
emotion recognition,1
"alzheimer, malaltia d'",4
processament de la parla,1
biochemistry and molecular biology,9
"chemistry, analytical",2
dementia,6
emotion recognition;,1
non-invasive diagnostic techniques,1
"physics, atomic, molecular and chemical",2
applied mathematics,196
computer science::computational geometry,3
analysis,101
mathematics - metric geometry,11
110309 infectious diseases,240
molecular biology,736
hematology,158
virology,135
69999 biological sciences not elsewhere classified,462
evolutionary biology,250
developmental biology,490
60506 virology,173
statistical and nonlinear physics,60
condensed matter physics,124
condensed matter - statistical mechanics,60
statistics and probability,85
high energy physics - phenomenology,233
condensed matter - mesoscale and nanoscale physics,101
high energy physics - theory,246
"electronic, optical and magnetic materials",62
nuclear and high energy physics,250
59999 environmental sciences not elsewhere classified,124
29999 physical sciences not elsewhere classified,48
ecology,269
neuroscience,261
immunology,364
àrees temàtiques de la upc::enginyeria agroalimentària::ciències de la terra i de la vida::climatologia i meteorologia,4
chemistry,127
convective boundary-layer,1
shear,1
strength,1
turbulència atmosfèrica,1
intermittent turbulence,3
simulation,5
qd1-999,61
:enginyeria agroalimentària::ciències de la terra i de la vida::climatologia i meteorologia [àrees temàtiques de la upc],4
decay,1
atmospheric turbulence,1
turbulence,2
atmospheric science,24
[phys.phys.phys-ao-ph]physics [physics]/physics [physics]/atmospheric and oceanic physics [physics.ao-ph],1
afternoon,1
atmospheric surface-layer,1
physics,77
[phys.phys.phys-ao-ph] physics/physics/atmospheric and oceanic physics,1
land,2
model,3
qc1-999,46
immune system proteins,10
microbial pathogens,51
preventive medicine,14
immunoassays,18
immunodeficiency viruses,18
retroviruses,16
vaccination and immunization,10
hiv-1,20
white blood cells,26
hiv,38
pathogens,48
immune response,30
proteins,85
enzyme-linked immunoassays,14
antibodies,10
lentivirus,16
cellular types,66
viruses,84
biology and life sciences,377
immune physiology,24
research and analysis methods,170
blood cells,31
physiology,330
immune cells,30
animal cells,63
immunologic techniques,26
medical microbiology,53
viral pathogens,31
complex mixtures,13
rna viruses,26
antibody response,3
cytotoxic t cells,8
t cells,28
organisms,120
physics::optics,29
physics::atomic and molecular clusters,7
condensed matter - materials science,51
plant biology,148
jel:a14,7
equal bargaining power,1
jel:d20,6
"farsighted players, stability, equal bargaining power",1
jel:c70,4
farsighted players,1
economics and econometrics,70
stability,15
finance,17
global and planetary change,13
"management, monitoring, policy and law",8
computers in earth sciences,2
earth-surface processes,18
40308 palaeontology (incl. palynology),2
photon,4
star,2
neutrino,1
astrophysics::high energy astrophysical phenomena,140
annihilation [dark matter],1
neutron star,1
immune system diseases,20
hemic and immune systems,11
flavor: 3 [quark],1
boundary condition,1
numerical calculations,2
530 physik,1
wilson [quark],1
mass: twist [quark],1
topological [charge],1
wilson [flow],1
gluon,1
530,7
hybrid [monte carlo],1
lattice gauge field theories,4
performance [numerical methods],1
high energy physics - lattice,43
física,116
clover [fermion],1
mass [pi],2
ddc:530,13
lattice [quantum chromodynamics],1
mass [k],1
lattice qcd,2
gravitational wave,1
astrophysics and astronomy,9
standard model higgs,1
19999 mathematical sciences not elsewhere classified,150
flux compactifications,9
gauge symmetry,2
string duality,2
ciencias físicas,18
física de partículas y campos,3
"computer science::distributed, parallel, and cluster computing",2
astrophysics::instrumentation and methods for astrophysics,30
ciencias naturales y exactas,37
unimodular gravity,2
cosmological constant,2
personality,6
phenotypic correlation,1
flight initiation distance,3
temperament,2
animal science and zoology,26
boldness,1
effect size,1
template,1
biorefinery,1
biomass,2
fiber,2
carbon fiber,1
revalorization,1
template carbon,1
lignin,3
activated carbons,1
technology,28
t,25
materials,1
activated carbon,1
general engineering,43
astrophysics - high energy astrophysical phenomena,99
host-pathogen interaction,5
coagulation pathways,1
surface proteins,2
gpi-anchored proteins,2
shaving,1
complement pathways,1
candida albicans,6
microbiology (medical),100
human serum,1
genètica mèdica,4
t cell receptors,2
spectrophotometry,11
chromosome biology,15
spectrum analysis techniques,15
flow cytometry,19
population genetics,30
lymphocytes,8
signal transduction,31
chromosomes,7
asthma,6
pulmonology,20
asma,2
haplotypes,8
population biology,36
snp,3
cytophotometry,9
immune receptors,2
gene expression,100
astrophysics::earth and planetary astrophysics,91
computersystemsorganization_computer-communicationnetworks,11
computer science applications,108
computer science - networking and internet architecture,16
other systems of medicine,1
review article,67
rz201-999,1
article subject,113
complementary and alternative medicine,2
[ phys.astr.co ] physics [physics]/astrophysics [astro-ph]/cosmology and extra-galactic astrophysics [astro-ph.co],5
[phys.astr.co]physics [physics]/astrophysics [astro-ph]/cosmology and extra-galactic astrophysics [astro-ph.co],8
retrospective studies,1
neoplasias colorrectales,2
health resources,1
recursos en salud,1
costes de hospital,1
health care costs,2
ra1-1270,40
public aspects of medicine,40
colorectal neoplasms,3
health care economics and organizations,19
costes de la atención en salud,1
estudios retrospectivos,1
hospital costs,3
"public health, environmental and occupational health",85
developmental biology and stem cells,6
general neuroscience,78
otorhinolaryngologic diseases,18
[sdv.neu.pc]life sciences [q-bio]/neurons and cognition [q-bio.nc]/psychology and behavior,2
[ sdv.neu.nb ] life sciences [q-bio]/neurons and cognition [q-bio.nc]/neurobiology,1
progenitors,2
morphogenesis,11
neurogenesis,11
[sdv.neu.nb]life sciences [q-bio]/neurons and cognition [q-bio.nc]/neurobiology,2
general immunology and microbiology,71
[sdv.neu.sc]life sciences [q-bio]/neurons and cognition [q-bio.nc]/cognitive sciences,2
stem cells,21
sensory development,1
sense organs,61
