Year,Nodes,Edges,Density,Avg Clustering Coefficient,Transitivity,Diameter,Radius
1948,3,3,1.0,1.0,1.0,1.0,1.0
1965,2,1,1.0,,,,
1968,4,6,1.0,1.0,1.0,1.0,1.0
1972,3,3,1.0,1.0,1.0,1.0,1.0
1973,7,11,0.5238095238095238,1.0,1.0,1.0,1.0
1974,3,3,1.0,1.0,1.0,1.0,1.0
1976,8,16,0.5714285714285714,1.0,1.0,1.0,1.0
1977,4,6,1.0,1.0,1.0,1.0,1.0
1978,2,1,1.0,,,,
1981,4,2,0.3333333333333333,,,,
1982,11,16,0.2909090909090909,1.0,1.0,1.0,1.0
1983,15,34,0.3238095238095238,1.0,1.0,1.0,1.0
1984,13,24,0.3076923076923077,1.0,1.0,1.0,1.0
1985,3,3,1.0,1.0,1.0,1.0,1.0
1986,12,19,0.2878787878787879,1.0,1.0,1.0,1.0
1987,6,7,0.4666666666666667,1.0,1.0,1.0,1.0
1989,2,1,1.0,,,,
1990,12,13,0.19696969696969696,1.0,1.0,1.0,1.0
1991,4,6,1.0,1.0,1.0,1.0,1.0
1992,42,109,0.12659698025551683,1.0,1.0,1.0,1.0
1993,35,81,0.1361344537815126,1.0,1.0,1.0,1.0
1994,15,37,0.3523809523809524,1.0,1.0,1.0,1.0
1995,238,634,0.02247987802716023,0.9984335839598998,0.9954627949183305,1.0263157894736843,1.0
1996,186,504,0.029293809938971228,0.9986559139784947,0.9911550468262227,1.032258064516129,1.0
1997,325,895,0.016999050332383667,0.9627244911564733,0.9815364183698867,1.1568627450980393,1.0196078431372548
1998,459,1548,0.014727288295230756,0.976586298843404,0.9848326228694044,1.123076923076923,1.0153846153846153
1999,466,1327,0.012247911763348562,0.981607062528115,0.9791622872382147,1.0657894736842106,1.0
2000,572,2006,0.012283688290693545,0.9787836122649555,0.9867951825706496,1.0769230769230769,1.0
2001,595,2033,0.011504399739693857,0.9642874130653781,0.975434604441165,1.0909090909090908,1.0
2002,733,2766,0.010310200612797173,0.9516310364579406,0.9765858768717939,1.1428571428571428,1.010204081632653
2003,741,2779,0.01013604697815224,0.9588639228109782,0.9731928948255785,1.099009900990099,1.00990099009901
2004,773,3110,0.010423020463975226,0.9777577317490944,0.9838238151630725,1.0776699029126213,1.0
2005,873,3242,0.008517502653509463,0.9646787507098217,0.9768030140663344,1.1531531531531531,1.027027027027027
2006,1592,11056,0.008730010833551793,0.978553189099875,0.9869005335019808,1.125,1.0227272727272727
2007,2437,11770,0.003965278044487926,0.9628826673331177,0.9740410584500753,1.1732851985559567,1.032490974729242
2008,3578,19926,0.0031138009389533434,0.9329224722274057,0.9579537886712587,1.2506393861892584,1.040920716112532
2009,4819,30936,0.002664835668897786,0.9345960542001803,0.9647222032003334,1.2782805429864252,1.0542986425339367
2010,5902,43369,0.002490488749444336,0.9393597446822937,0.9607594870978864,1.2876712328767124,1.0528375733855186
2011,6779,54353,0.0023658451579524724,0.9380163309432722,0.9617541613762709,1.2720588235294117,1.0459558823529411
2012,8125,77150,0.002337613150020831,0.9352198614005757,0.960449762600868,1.2756933115823816,1.0391517128874388
2013,9274,76260,0.0017735337003148058,0.9348135523999654,0.9683502977784937,1.250778816199377,1.043613707165109
2014,10085,87470,0.001720205700966615,0.9331648390186474,0.9629526375999424,1.3015647226173541,1.0640113798008535
2015,11785,225887,0.0032531112276672366,0.943159158953357,0.9694494744570464,1.2370266479663394,1.0518934081346423
2016,12264,86752,0.00115366740217751,0.9356017470066423,0.9661460997533992,1.2675709001233046,1.0468557336621456
2017,15328,121404,0.0010335234681439402,0.9362253495711895,0.9686714256779027,1.239202657807309,1.035437430786268
2018,9813,98863,0.002053546031539898,0.9471867278842596,0.9754414884441893,1.224893917963225,1.0367751060820367
2019,30,144,0.3310344827586207,1.0,1.0,1.0,1.0
